"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|FI","Actual Total Load [MW] - BZN|FI"
"21.08.2024 02:15 - 21.08.2024 02:30","7275","7415"
"21.08.2024 02:30 - 21.08.2024 02:45","7350","7395"
"21.08.2024 02:45 - 21.08.2024 03:00","7470","7514"
"21.08.2024 03:00 - 21.08.2024 03:15","7665","7747"
"21.08.2024 03:15 - 21.08.2024 03:30","7811","7884"
"21.08.2024 03:30 - 21.08.2024 03:45","7927","8045"
"21.08.2024 03:45 - 21.08.2024 04:00","8056","8195"
"21.08.2024 04:00 - 21.08.2024 04:15","8198","8448"
"21.08.2024 04:15 - 21.08.2024 04:30","8310","8590"
"21.08.2024 04:30 - 21.08.2024 04:45","8401","8612"
"21.08.2024 04:45 - 21.08.2024 05:00","8476","8652"
"21.08.2024 05:00 - 21.08.2024 05:15","8528","8836"
"21.08.2024 05:15 - 21.08.2024 05:30","8581","8861"
"21.08.2024 05:30 - 21.08.2024 05:45","8631","8934"
"21.08.2024 05:45 - 21.08.2024 06:00","8669","8936"
"21.08.2024 06:00 - 21.08.2024 06:15","8696","9019"
"21.08.2024 06:15 - 21.08.2024 06:30","8721","9001"
"21.08.2024 06:30 - 21.08.2024 06:45","8744","8927"
"21.08.2024 06:45 - 21.08.2024 07:00","8757","8937"
"21.08.2024 07:00 - 21.08.2024 07:15","8757","8985"
"21.08.2024 07:15 - 21.08.2024 07:30","8765","8976"
"21.08.2024 07:30 - 21.08.2024 07:45","8776","8944"
"21.08.2024 07:45 - 21.08.2024 08:00","8785","8888"
"21.08.2024 08:00 - 21.08.2024 08:15","8793","9003"
"21.08.2024 08:15 - 21.08.2024 08:30","8802","8942"
"21.08.2024 08:30 - 21.08.2024 08:45","8809","9002"
"21.08.2024 08:45 - 21.08.2024 09:00","8822","8948"
"21.08.2024 09:00 - 21.08.2024 09:15","8847","9022"
"21.08.2024 09:15 - 21.08.2024 09:30","8853","8960"
"21.08.2024 09:30 - 21.08.2024 09:45","8847","8945"
"21.08.2024 09:45 - 21.08.2024 10:00","8826","8947"
"21.08.2024 10:00 - 21.08.2024 10:15","8778","9015"
"21.08.2024 10:15 - 21.08.2024 10:30","8754","8987"
"21.08.2024 10:30 - 21.08.2024 10:45","8744","8911"
"21.08.2024 10:45 - 21.08.2024 11:00","8736","8808"
"21.08.2024 11:00 - 21.08.2024 11:15","8731","8810"
"21.08.2024 11:15 - 21.08.2024 11:30","8733","8889"
"21.08.2024 11:30 - 21.08.2024 11:45","8738","8835"
"21.08.2024 11:45 - 21.08.2024 12:00","8758","8907"
"21.08.2024 12:00 - 21.08.2024 12:15","8804","8923"
"21.08.2024 12:15 - 21.08.2024 12:30","8823","8961"
"21.08.2024 12:30 - 21.08.2024 12:45","8827","8936"
"21.08.2024 12:45 - 21.08.2024 13:00","8822","8930"
"21.08.2024 13:00 - 21.08.2024 13:15","8798","8967"
"21.08.2024 13:15 - 21.08.2024 13:30","8786","8946"
"21.08.2024 13:30 - 21.08.2024 13:45","8778","8996"
"21.08.2024 13:45 - 21.08.2024 14:00","8772","9049"
"21.08.2024 14:00 - 21.08.2024 14:15","8770","8927"
"21.08.2024 14:15 - 21.08.2024 14:30","8761","8913"
"21.08.2024 14:30 - 21.08.2024 14:45","8749","8876"
"21.08.2024 14:45 - 21.08.2024 15:00","8729","8968"
"21.08.2024 15:00 - 21.08.2024 15:15","8696","8879"
"21.08.2024 15:15 - 21.08.2024 15:30","8678","8854"
"21.08.2024 15:30 - 21.08.2024 15:45","8669","8869"
"21.08.2024 15:45 - 21.08.2024 16:00","8670","8929"
"21.08.2024 16:00 - 21.08.2024 16:15","8688","8825"
"21.08.2024 16:15 - 21.08.2024 16:30","8690","8868"
"21.08.2024 16:30 - 21.08.2024 16:45","8681","8866"
"21.08.2024 16:45 - 21.08.2024 17:00","8675","8829"
"21.08.2024 17:00 - 21.08.2024 17:15","8674","8735"
"21.08.2024 17:15 - 21.08.2024 17:30","8656","8715"
"21.08.2024 17:30 - 21.08.2024 17:45","8628","8672"
"21.08.2024 17:45 - 21.08.2024 18:00","8577","8641"
"21.08.2024 18:00 - 21.08.2024 18:15","8487","8573"
"21.08.2024 18:15 - 21.08.2024 18:30","8438","8548"
"21.08.2024 18:30 - 21.08.2024 18:45","8406","8458"
"21.08.2024 18:45 - 21.08.2024 19:00","8405","8356"
"21.08.2024 19:00 - 21.08.2024 19:15","8465","8393"
"21.08.2024 19:15 - 21.08.2024 19:30","8452","8446"
"21.08.2024 19:30 - 21.08.2024 19:45","8398","8392"
"21.08.2024 19:45 - 21.08.2024 20:00","8308","8333"
"21.08.2024 20:00 - 21.08.2024 20:15","8154","8145"
"21.08.2024 20:15 - 21.08.2024 20:30","8047","7997"
"21.08.2024 20:30 - 21.08.2024 20:45","7969","7886"
"21.08.2024 20:45 - 21.08.2024 21:00","7877","7790"
"21.08.2024 21:00 - 21.08.2024 21:15","7769","7658"
"21.08.2024 21:15 - 21.08.2024 21:30","7703","7559"
"21.08.2024 21:30 - 21.08.2024 21:45","7667","7499"
"21.08.2024 21:45 - 21.08.2024 22:00","7647","7362"
"21.08.2024 22:00 - 21.08.2024 22:15","7396","7393"
"21.08.2024 22:15 - 21.08.2024 22:30","7391","7406"
"21.08.2024 22:30 - 21.08.2024 22:45","7384","7308"
"21.08.2024 22:45 - 21.08.2024 23:00","7365","7272"
"21.08.2024 23:00 - 21.08.2024 23:15","7327","7225"
"21.08.2024 23:15 - 21.08.2024 23:30","7308","7200"
"21.08.2024 23:30 - 21.08.2024 23:45","7300","7166"
"21.08.2024 23:45 - 22.08.2024 00:00","7296","7160"
"22.08.2024 00:00 - 22.08.2024 00:15","7301","7152"
"22.08.2024 00:15 - 22.08.2024 00:30","7304","7130"
"22.08.2024 00:30 - 22.08.2024 00:45","7308","7145"
"22.08.2024 00:45 - 22.08.2024 01:00","7315","7109"
"22.08.2024 01:00 - 22.08.2024 01:15","7325","7115"
"22.08.2024 01:15 - 22.08.2024 01:30","7337","7104"
"22.08.2024 01:30 - 22.08.2024 01:45","7357","7155"
"22.08.2024 01:45 - 22.08.2024 02:00","7361","7186"
"22.08.2024 02:00 - 22.08.2024 02:15","7329","7246"
"22.08.2024 02:15 - 22.08.2024 02:30","7363","7213"
"22.08.2024 02:30 - 22.08.2024 02:45","7436","7200"
"22.08.2024 02:45 - 22.08.2024 03:00","7550","7267"
"22.08.2024 03:00 - 22.08.2024 03:15","7730","7656"
"22.08.2024 03:15 - 22.08.2024 03:30","7873","7783"
"22.08.2024 03:30 - 22.08.2024 03:45","7992","7937"
"22.08.2024 03:45 - 22.08.2024 04:00","8130","8015"
"22.08.2024 04:00 - 22.08.2024 04:15","8290","8209"
"22.08.2024 04:15 - 22.08.2024 04:30","8415","8430"
"22.08.2024 04:30 - 22.08.2024 04:45","8515","8429"
"22.08.2024 04:45 - 22.08.2024 05:00","8605","8536"
"22.08.2024 05:00 - 22.08.2024 05:15","8680","8567"
"22.08.2024 05:15 - 22.08.2024 05:30","8744","8674"
"22.08.2024 05:30 - 22.08.2024 05:45","8798","8747"
"22.08.2024 05:45 - 22.08.2024 06:00","8833","8817"
"22.08.2024 06:00 - 22.08.2024 06:15","8843","8954"
"22.08.2024 06:15 - 22.08.2024 06:30","8861","9022"
"22.08.2024 06:30 - 22.08.2024 06:45","8882","9068"
"22.08.2024 06:45 - 22.08.2024 07:00","8892","9072"
"22.08.2024 07:00 - 22.08.2024 07:15","8887","9178"
"22.08.2024 07:15 - 22.08.2024 07:30","8895","9212"
"22.08.2024 07:30 - 22.08.2024 07:45","8907","9125"
"22.08.2024 07:45 - 22.08.2024 08:00","8923","9161"
"22.08.2024 08:00 - 22.08.2024 08:15","8950","9278"
"22.08.2024 08:15 - 22.08.2024 08:30","8965","9173"
"22.08.2024 08:30 - 22.08.2024 08:45","8971","9248"
"22.08.2024 08:45 - 22.08.2024 09:00","8979","9180"
"22.08.2024 09:00 - 22.08.2024 09:15","8987","9252"
"22.08.2024 09:15 - 22.08.2024 09:30","8985","9218"
"22.08.2024 09:30 - 22.08.2024 09:45","8976","9268"
"22.08.2024 09:45 - 22.08.2024 10:00","8953","9247"
"22.08.2024 10:00 - 22.08.2024 10:15","8907","9134"
"22.08.2024 10:15 - 22.08.2024 10:30","8882","9131"
"22.08.2024 10:30 - 22.08.2024 10:45","8869","9097"
"22.08.2024 10:45 - 22.08.2024 11:00","8860","9117"
"22.08.2024 11:00 - 22.08.2024 11:15","8858","8961"
"22.08.2024 11:15 - 22.08.2024 11:30","8854","9008"
"22.08.2024 11:30 - 22.08.2024 11:45","8850","8917"
"22.08.2024 11:45 - 22.08.2024 12:00","8851","9060"
"22.08.2024 12:00 - 22.08.2024 12:15","8862","9017"
"22.08.2024 12:15 - 22.08.2024 12:30","8862","9032"
"22.08.2024 12:30 - 22.08.2024 12:45","8858","9075"
"22.08.2024 12:45 - 22.08.2024 13:00","8849","9061"
"22.08.2024 13:00 - 22.08.2024 13:15","8832","9087"
"22.08.2024 13:15 - 22.08.2024 13:30","8822","9016"
"22.08.2024 13:30 - 22.08.2024 13:45","8814","8972"
"22.08.2024 13:45 - 22.08.2024 14:00","8809","9101"
"22.08.2024 14:00 - 22.08.2024 14:15","8811","8931"
"22.08.2024 14:15 - 22.08.2024 14:30","8804","9006"
"22.08.2024 14:30 - 22.08.2024 14:45","8792","8971"
"22.08.2024 14:45 - 22.08.2024 15:00","8773","8835"
"22.08.2024 15:00 - 22.08.2024 15:15","8740","8792"
"22.08.2024 15:15 - 22.08.2024 15:30","8722","8710"
"22.08.2024 15:30 - 22.08.2024 15:45","8713","8862"
"22.08.2024 15:45 - 22.08.2024 16:00","8719","8827"
"22.08.2024 16:00 - 22.08.2024 16:15","8750","8632"
"22.08.2024 16:15 - 22.08.2024 16:30","8752","8726"
"22.08.2024 16:30 - 22.08.2024 16:45","8736","8741"
"22.08.2024 16:45 - 22.08.2024 17:00","8711","8749"
"22.08.2024 17:00 - 22.08.2024 17:15","8668","8724"
"22.08.2024 17:15 - 22.08.2024 17:30","8631","8680"
"22.08.2024 17:30 - 22.08.2024 17:45","8598","8724"
"22.08.2024 17:45 - 22.08.2024 18:00","8552","8710"
"22.08.2024 18:00 - 22.08.2024 18:15","8488","8644"
"22.08.2024 18:15 - 22.08.2024 18:30","8448","8545"
"22.08.2024 18:30 - 22.08.2024 18:45","8417","8460"
"22.08.2024 18:45 - 22.08.2024 19:00","8414","8495"
"22.08.2024 19:00 - 22.08.2024 19:15","8464","8486"
"22.08.2024 19:15 - 22.08.2024 19:30","8447","8503"
"22.08.2024 19:30 - 22.08.2024 19:45","8394","8376"
"22.08.2024 19:45 - 22.08.2024 20:00","8306","8395"
"22.08.2024 20:00 - 22.08.2024 20:15","8158","8277"
"22.08.2024 20:15 - 22.08.2024 20:30","8054","8155"
"22.08.2024 20:30 - 22.08.2024 20:45","7978","7910"
"22.08.2024 20:45 - 22.08.2024 21:00","7889","7881"
"22.08.2024 21:00 - 22.08.2024 21:15","7784","7739"
"22.08.2024 21:15 - 22.08.2024 21:30","7719","7617"
"22.08.2024 21:30 - 22.08.2024 21:45","7684","7505"
"22.08.2024 21:45 - 22.08.2024 22:00","7665","7486"
"22.08.2024 22:00 - 22.08.2024 22:15","7484","7441"
"22.08.2024 22:15 - 22.08.2024 22:30","7476","7347"
"22.08.2024 22:30 - 22.08.2024 22:45","7464","7343"
"22.08.2024 22:45 - 22.08.2024 23:00","7432","7225"
"22.08.2024 23:00 - 22.08.2024 23:15","7369","7299"
"22.08.2024 23:15 - 22.08.2024 23:30","7337","7349"
"22.08.2024 23:30 - 22.08.2024 23:45","7322","7361"
"22.08.2024 23:45 - 23.08.2024 00:00","7314","7245"
"23.08.2024 00:00 - 23.08.2024 00:15","7320","7320"
"23.08.2024 00:15 - 23.08.2024 00:30","7322","7231"
"23.08.2024 00:30 - 23.08.2024 00:45","7323","7218"
"23.08.2024 00:45 - 23.08.2024 01:00","7326","7170"
"23.08.2024 01:00 - 23.08.2024 01:15","7327","7270"
"23.08.2024 01:15 - 23.08.2024 01:30","7337","7278"
"23.08.2024 01:30 - 23.08.2024 01:45","7360","7335"
"23.08.2024 01:45 - 23.08.2024 02:00","7373","7322"
"23.08.2024 02:00 - 23.08.2024 02:15","7366","7440"
"23.08.2024 02:15 - 23.08.2024 02:30","7408","7492"
"23.08.2024 02:30 - 23.08.2024 02:45","7482","7447"
"23.08.2024 02:45 - 23.08.2024 03:00","7589","7498"
"23.08.2024 03:00 - 23.08.2024 03:15","7748","7804"
"23.08.2024 03:15 - 23.08.2024 03:30","7881","7947"
"23.08.2024 03:30 - 23.08.2024 03:45","7998","8114"
"23.08.2024 03:45 - 23.08.2024 04:00","8137","8170"
"23.08.2024 04:00 - 23.08.2024 04:15","8310","8370"
"23.08.2024 04:15 - 23.08.2024 04:30","8436","8412"
"23.08.2024 04:30 - 23.08.2024 04:45","8533","8572"
"23.08.2024 04:45 - 23.08.2024 05:00","8605","8593"
"23.08.2024 05:00 - 23.08.2024 05:15","8635","8629"
"23.08.2024 05:15 - 23.08.2024 05:30","8690","8632"
"23.08.2024 05:30 - 23.08.2024 05:45","8756","8791"
"23.08.2024 05:45 - 23.08.2024 06:00","8823","8827"
"23.08.2024 06:00 - 23.08.2024 06:15","8901","8825"
"23.08.2024 06:15 - 23.08.2024 06:30","8961","8830"
"23.08.2024 06:30 - 23.08.2024 06:45","9007","8843"
"23.08.2024 06:45 - 23.08.2024 07:00","9048","8819"
"23.08.2024 07:00 - 23.08.2024 07:15","9084","8958"
"23.08.2024 07:15 - 23.08.2024 07:30","9109","8950"
"23.08.2024 07:30 - 23.08.2024 07:45","9127","8837"
"23.08.2024 07:45 - 23.08.2024 08:00","9130","8977"
"23.08.2024 08:00 - 23.08.2024 08:15","9109","8952"
"23.08.2024 08:15 - 23.08.2024 08:30","9104","9037"
"23.08.2024 08:30 - 23.08.2024 08:45","9105","8981"
"23.08.2024 08:45 - 23.08.2024 09:00","9113","8983"
"23.08.2024 09:00 - 23.08.2024 09:15","9137","8997"
"23.08.2024 09:15 - 23.08.2024 09:30","9137","9061"
"23.08.2024 09:30 - 23.08.2024 09:45","9124","9134"
"23.08.2024 09:45 - 23.08.2024 10:00","9097","9067"
"23.08.2024 10:00 - 23.08.2024 10:15","9045","8911"
"23.08.2024 10:15 - 23.08.2024 10:30","9011","8817"
"23.08.2024 10:30 - 23.08.2024 10:45","8989","8836"
"23.08.2024 10:45 - 23.08.2024 11:00","8967","8816"
"23.08.2024 11:00 - 23.08.2024 11:15","8946","8769"
"23.08.2024 11:15 - 23.08.2024 11:30","8929","8740"
"23.08.2024 11:30 - 23.08.2024 11:45","8914","8813"
"23.08.2024 11:45 - 23.08.2024 12:00","8905","8836"
"23.08.2024 12:00 - 23.08.2024 12:15","8903","8847"
"23.08.2024 12:15 - 23.08.2024 12:30","8897","8819"
"23.08.2024 12:30 - 23.08.2024 12:45","8887","8809"
"23.08.2024 12:45 - 23.08.2024 13:00","8879","8922"
"23.08.2024 13:00 - 23.08.2024 13:15","8874","8804"
"23.08.2024 13:15 - 23.08.2024 13:30","8864","8737"
"23.08.2024 13:30 - 23.08.2024 13:45","8850","8753"
"23.08.2024 13:45 - 23.08.2024 14:00","8836","8731"
"23.08.2024 14:00 - 23.08.2024 14:15","8824","8738"
"23.08.2024 14:15 - 23.08.2024 14:30","8805","8722"
"23.08.2024 14:30 - 23.08.2024 14:45","8781","8793"
"23.08.2024 14:45 - 23.08.2024 15:00","8747","8801"
"23.08.2024 15:00 - 23.08.2024 15:15","8693","8625"
"23.08.2024 15:15 - 23.08.2024 15:30","8660","8629"
"23.08.2024 15:30 - 23.08.2024 15:45","8637","8681"
"23.08.2024 15:45 - 23.08.2024 16:00","8622","8751"
"23.08.2024 16:00 - 23.08.2024 16:15","8623","8586"
"23.08.2024 16:15 - 23.08.2024 16:30","8612","8569"
"23.08.2024 16:30 - 23.08.2024 16:45","8594","8597"
"23.08.2024 16:45 - 23.08.2024 17:00","8579","8624"
"23.08.2024 17:00 - 23.08.2024 17:15","8569","8525"
"23.08.2024 17:15 - 23.08.2024 17:30","8546","8472"
"23.08.2024 17:30 - 23.08.2024 17:45","8517","8563"
"23.08.2024 17:45 - 23.08.2024 18:00","8475","8618"
"23.08.2024 18:00 - 23.08.2024 18:15","8408","8607"
"23.08.2024 18:15 - 23.08.2024 18:30","8366","8537"
"23.08.2024 18:30 - 23.08.2024 18:45","8334","8464"
"23.08.2024 18:45 - 23.08.2024 19:00","8317","8395"
"23.08.2024 19:00 - 23.08.2024 19:15","8332","8423"
"23.08.2024 19:15 - 23.08.2024 19:30","8310","8497"
"23.08.2024 19:30 - 23.08.2024 19:45","8265","8395"
"23.08.2024 19:45 - 23.08.2024 20:00","8216","8424"
"23.08.2024 20:00 - 23.08.2024 20:15","8160","8280"
"23.08.2024 20:15 - 23.08.2024 20:30","8086","8036"
"23.08.2024 20:30 - 23.08.2024 20:45","8008","7957"
"23.08.2024 20:45 - 23.08.2024 21:00","7885","7801"
"23.08.2024 21:00 - 23.08.2024 21:15","7686","7797"
"23.08.2024 21:15 - 23.08.2024 21:30","7579","7679"
"23.08.2024 21:30 - 23.08.2024 21:45","7532","7577"
"23.08.2024 21:45 - 23.08.2024 22:00","7504","7461"
"23.08.2024 22:00 - 23.08.2024 22:15","7351","7394"
"23.08.2024 22:15 - 23.08.2024 22:30","7343","7304"
"23.08.2024 22:30 - 23.08.2024 22:45","7330","7273"
"23.08.2024 22:45 - 23.08.2024 23:00","7299","7210"
"23.08.2024 23:00 - 23.08.2024 23:15","7241","7288"
"23.08.2024 23:15 - 23.08.2024 23:30","7206","7323"
"23.08.2024 23:30 - 23.08.2024 23:45","7187","7232"
"23.08.2024 23:45 - 24.08.2024 00:00","7170","7196"
"24.08.2024 00:00 - 24.08.2024 00:15","7160","7149"
"24.08.2024 00:15 - 24.08.2024 00:30","7151","7192"
"24.08.2024 00:30 - 24.08.2024 00:45","7144","7129"
"24.08.2024 00:45 - 24.08.2024 01:00","7143","7088"
"24.08.2024 01:00 - 24.08.2024 01:15","7150","7135"
"24.08.2024 01:15 - 24.08.2024 01:30","7152","7139"
"24.08.2024 01:30 - 24.08.2024 01:45","7153","7149"
"24.08.2024 01:45 - 24.08.2024 02:00","7151","7101"
"24.08.2024 02:00 - 24.08.2024 02:15","7140","7195"
"24.08.2024 02:15 - 24.08.2024 02:30","7144","7223"
"24.08.2024 02:30 - 24.08.2024 02:45","7157","7161"
"24.08.2024 02:45 - 24.08.2024 03:00","7178","7023"
"24.08.2024 03:00 - 24.08.2024 03:15","7210","7109"
"24.08.2024 03:15 - 24.08.2024 03:30","7239","7153"
"24.08.2024 03:30 - 24.08.2024 03:45","7269","7190"
"24.08.2024 03:45 - 24.08.2024 04:00","7300","7174"
"24.08.2024 04:00 - 24.08.2024 04:15","7333","7292"
"24.08.2024 04:15 - 24.08.2024 04:30","7371","7352"
"24.08.2024 04:30 - 24.08.2024 04:45","7415","7373"
"24.08.2024 04:45 - 24.08.2024 05:00","7463","7435"
"24.08.2024 05:00 - 24.08.2024 05:15","7517","7551"
"24.08.2024 05:15 - 24.08.2024 05:30","7572","7633"
"24.08.2024 05:30 - 24.08.2024 05:45","7628","7753"
"24.08.2024 05:45 - 24.08.2024 06:00","7694","7819"
"24.08.2024 06:00 - 24.08.2024 06:15","7777","7971"
"24.08.2024 06:15 - 24.08.2024 06:30","7841","8074"
"24.08.2024 06:30 - 24.08.2024 06:45","7891","8050"
"24.08.2024 06:45 - 24.08.2024 07:00","7939","8167"
"24.08.2024 07:00 - 24.08.2024 07:15","7984","8332"
"24.08.2024 07:15 - 24.08.2024 07:30","8019","8344"
"24.08.2024 07:30 - 24.08.2024 07:45","8047","8315"
"24.08.2024 07:45 - 24.08.2024 08:00","8060","8404"
"24.08.2024 08:00 - 24.08.2024 08:15","8048","8550"
"24.08.2024 08:15 - 24.08.2024 08:30","8057","8517"
"24.08.2024 08:30 - 24.08.2024 08:45","8074","8420"
"24.08.2024 08:45 - 24.08.2024 09:00","8101","8543"
"24.08.2024 09:00 - 24.08.2024 09:15","8153","8530"
"24.08.2024 09:15 - 24.08.2024 09:30","8174","8494"
"24.08.2024 09:30 - 24.08.2024 09:45","8179","8377"
"24.08.2024 09:45 - 24.08.2024 10:00","8165","8407"
"24.08.2024 10:00 - 24.08.2024 10:15","8120","8389"
"24.08.2024 10:15 - 24.08.2024 10:30","8101","8401"
"24.08.2024 10:30 - 24.08.2024 10:45","8094","8390"
"24.08.2024 10:45 - 24.08.2024 11:00","8093","8250"
"24.08.2024 11:00 - 24.08.2024 11:15","8105","8312"
"24.08.2024 11:15 - 24.08.2024 11:30","8106","8337"
"24.08.2024 11:30 - 24.08.2024 11:45","8102","8385"
"24.08.2024 11:45 - 24.08.2024 12:00","8094","8349"
"24.08.2024 12:00 - 24.08.2024 12:15","8074","8328"
"24.08.2024 12:15 - 24.08.2024 12:30","8068","8371"
"24.08.2024 12:30 - 24.08.2024 12:45","8069","8323"
"24.08.2024 12:45 - 24.08.2024 13:00","8075","8281"
"24.08.2024 13:00 - 24.08.2024 13:15","8088","8336"
"24.08.2024 13:15 - 24.08.2024 13:30","8100","8304"
"24.08.2024 13:30 - 24.08.2024 13:45","8112","8332"
"24.08.2024 13:45 - 24.08.2024 14:00","8128","8375"
"24.08.2024 14:00 - 24.08.2024 14:15","8149","8310"
"24.08.2024 14:15 - 24.08.2024 14:30","8166","8371"
"24.08.2024 14:30 - 24.08.2024 14:45","8180","8429"
"24.08.2024 14:45 - 24.08.2024 15:00","8195","8504"
"24.08.2024 15:00 - 24.08.2024 15:15","8215","8363"
"24.08.2024 15:15 - 24.08.2024 15:30","8226","8486"
"24.08.2024 15:30 - 24.08.2024 15:45","8232","8524"
"24.08.2024 15:45 - 24.08.2024 16:00","8235","8581"
"24.08.2024 16:00 - 24.08.2024 16:15","8236","8347"
"24.08.2024 16:15 - 24.08.2024 16:30","8231","8392"
"24.08.2024 16:30 - 24.08.2024 16:45","8223","8466"
"24.08.2024 16:45 - 24.08.2024 17:00","8208","8423"
"24.08.2024 17:00 - 24.08.2024 17:15","8186","8285"
"24.08.2024 17:15 - 24.08.2024 17:30","8166","8223"
"24.08.2024 17:30 - 24.08.2024 17:45","8148","8179"
"24.08.2024 17:45 - 24.08.2024 18:00","8121","8214"
"24.08.2024 18:00 - 24.08.2024 18:15","8077","8288"
"24.08.2024 18:15 - 24.08.2024 18:30","8056","8247"
"24.08.2024 18:30 - 24.08.2024 18:45","8044","8167"
"24.08.2024 18:45 - 24.08.2024 19:00","8055","8156"
"24.08.2024 19:00 - 24.08.2024 19:15","8110","8225"
"24.08.2024 19:15 - 24.08.2024 19:30","8113","8191"
"24.08.2024 19:30 - 24.08.2024 19:45","8084","8195"
"24.08.2024 19:45 - 24.08.2024 20:00","8039","8212"
"24.08.2024 20:00 - 24.08.2024 20:15","7966","8135"
"24.08.2024 20:15 - 24.08.2024 20:30","7897","7990"
"24.08.2024 20:30 - 24.08.2024 20:45","7835","7839"
"24.08.2024 20:45 - 24.08.2024 21:00","7741","7750"
"24.08.2024 21:00 - 24.08.2024 21:15","7594","7689"
"24.08.2024 21:15 - 24.08.2024 21:30","7514","7616"
"24.08.2024 21:30 - 24.08.2024 21:45","7478","7469"
"24.08.2024 21:45 - 24.08.2024 22:00","7456","7416"
"24.08.2024 22:00 - 24.08.2024 22:15","7264","7341"
"24.08.2024 22:15 - 24.08.2024 22:30","7259","7238"
"24.08.2024 22:30 - 24.08.2024 22:45","7249","7167"
"24.08.2024 22:45 - 24.08.2024 23:00","7232","7159"
"24.08.2024 23:00 - 24.08.2024 23:15","7203","7156"
"24.08.2024 23:15 - 24.08.2024 23:30","7179","7113"
"24.08.2024 23:30 - 24.08.2024 23:45","7159","7081"
"24.08.2024 23:45 - 25.08.2024 00:00","7132","7118"
"25.08.2024 00:00 - 25.08.2024 00:15","7094","7050"
"25.08.2024 00:15 - 25.08.2024 00:30","7072","7038"
"25.08.2024 00:30 - 25.08.2024 00:45","7058","7003"
"25.08.2024 00:45 - 25.08.2024 01:00","7056","7021"
"25.08.2024 01:00 - 25.08.2024 01:15","7073","7023"
"25.08.2024 01:15 - 25.08.2024 01:30","7073","6957"
"25.08.2024 01:30 - 25.08.2024 01:45","7065","7028"
"25.08.2024 01:45 - 25.08.2024 02:00","7051","7041"
"25.08.2024 02:00 - 25.08.2024 02:15","7022","7049"
"25.08.2024 02:15 - 25.08.2024 02:30","7009","6984"
"25.08.2024 02:30 - 25.08.2024 02:45","7007","7002"
"25.08.2024 02:45 - 25.08.2024 03:00","7007","6942"
"25.08.2024 03:00 - 25.08.2024 03:15","7009","6964"
"25.08.2024 03:15 - 25.08.2024 03:30","7020","6984"
"25.08.2024 03:30 - 25.08.2024 03:45","7039","7000"
"25.08.2024 03:45 - 25.08.2024 04:00","7065","7014"
"25.08.2024 04:00 - 25.08.2024 04:15","7097","7121"
"25.08.2024 04:15 - 25.08.2024 04:30","7138","7165"
"25.08.2024 04:30 - 25.08.2024 04:45","7186","7165"
"25.08.2024 04:45 - 25.08.2024 05:00","7245","7157"
"25.08.2024 05:00 - 25.08.2024 05:15","7318","7326"
"25.08.2024 05:15 - 25.08.2024 05:30","7388","7362"
"25.08.2024 05:30 - 25.08.2024 05:45","7457","7478"
"25.08.2024 05:45 - 25.08.2024 06:00","7535","7526"
"25.08.2024 06:00 - 25.08.2024 06:15","7626","7738"
"25.08.2024 06:15 - 25.08.2024 06:30","7704","7665"
"25.08.2024 06:30 - 25.08.2024 06:45","7774","7676"
"25.08.2024 06:45 - 25.08.2024 07:00","7845","7761"
"25.08.2024 07:00 - 25.08.2024 07:15","7919","7989"
"25.08.2024 07:15 - 25.08.2024 07:30","7979","7914"
"25.08.2024 07:30 - 25.08.2024 07:45","8030","7923"
"25.08.2024 07:45 - 25.08.2024 08:00","8075","8026"
"25.08.2024 08:00 - 25.08.2024 08:15","8112","8084"
"25.08.2024 08:15 - 25.08.2024 08:30","8142","8052"
"25.08.2024 08:30 - 25.08.2024 08:45","8166","8051"
"25.08.2024 08:45 - 25.08.2024 09:00","8180","8030"
"25.08.2024 09:00 - 25.08.2024 09:15","8184","8161"
"25.08.2024 09:15 - 25.08.2024 09:30","8186","8183"
"25.08.2024 09:30 - 25.08.2024 09:45","8186","8185"
"25.08.2024 09:45 - 25.08.2024 10:00","8174","8158"
"25.08.2024 10:00 - 25.08.2024 10:15","8145","8148"
"25.08.2024 10:15 - 25.08.2024 10:30","8131","8141"
"25.08.2024 10:30 - 25.08.2024 10:45","8126","8195"
"25.08.2024 10:45 - 25.08.2024 11:00","8123","8147"
"25.08.2024 11:00 - 25.08.2024 11:15","8127","8133"
"25.08.2024 11:15 - 25.08.2024 11:30","8128","8224"
"25.08.2024 11:30 - 25.08.2024 11:45","8128","8360"
"25.08.2024 11:45 - 25.08.2024 12:00","8131","8456"
"25.08.2024 12:00 - 25.08.2024 12:15","8138","8405"
"25.08.2024 12:15 - 25.08.2024 12:30","8141","8388"
"25.08.2024 12:30 - 25.08.2024 12:45","8142","8473"
"25.08.2024 12:45 - 25.08.2024 13:00","8138","8470"
"25.08.2024 13:00 - 25.08.2024 13:15","8126","8385"
"25.08.2024 13:15 - 25.08.2024 13:30","8125","8475"
"25.08.2024 13:30 - 25.08.2024 13:45","8132","8509"
"25.08.2024 13:45 - 25.08.2024 14:00","8146","8584"
"25.08.2024 14:00 - 25.08.2024 14:15","8172","8465"
"25.08.2024 14:15 - 25.08.2024 14:30","8188","8445"
"25.08.2024 14:30 - 25.08.2024 14:45","8199","8466"
"25.08.2024 14:45 - 25.08.2024 15:00","8211","8462"
