"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|FI","Actual Total Load [MW] - BZN|FI"
"03.01.2024 07:45 - 03.01.2024 08:00","14484","14528"
"03.01.2024 08:00 - 03.01.2024 08:15","14455","14573"
"03.01.2024 08:15 - 03.01.2024 08:30","14439","14604"
"03.01.2024 08:30 - 03.01.2024 08:45","14431","14659"
"03.01.2024 08:45 - 03.01.2024 09:00","14424","14653"
"03.01.2024 09:00 - 03.01.2024 09:15","14419","14687"
"03.01.2024 09:15 - 03.01.2024 09:30","14417","14705"
"03.01.2024 09:30 - 03.01.2024 09:45","14416","14704"
"03.01.2024 09:45 - 03.01.2024 10:00","14425","14721"
"03.01.2024 10:00 - 03.01.2024 10:15","14448","14721"
"03.01.2024 10:15 - 03.01.2024 10:30","14453","14692"
"03.01.2024 10:30 - 03.01.2024 10:45","14450","14720"
"03.01.2024 10:45 - 03.01.2024 11:00","14438","14707"
"03.01.2024 11:00 - 03.01.2024 11:15","14408","14677"
"03.01.2024 11:15 - 03.01.2024 11:30","14393","14619"
"03.01.2024 11:30 - 03.01.2024 11:45","14389","14613"
"03.01.2024 11:45 - 03.01.2024 12:00","14384","14606"
"03.01.2024 12:00 - 03.01.2024 12:15","14379","14647"
"03.01.2024 12:15 - 03.01.2024 12:30","14383","14561"
"03.01.2024 12:30 - 03.01.2024 12:45","14395","14563"
"03.01.2024 12:45 - 03.01.2024 13:00","14413","14616"
"03.01.2024 13:00 - 03.01.2024 13:15","14442","14643"
"03.01.2024 13:15 - 03.01.2024 13:30","14471","14634"
"03.01.2024 13:30 - 03.01.2024 13:45","14497","14714"
"03.01.2024 13:45 - 03.01.2024 14:00","14537","14849"
"03.01.2024 14:00 - 03.01.2024 14:15","14597","14789"
"03.01.2024 14:15 - 03.01.2024 14:30","14631","14781"
"03.01.2024 14:30 - 03.01.2024 14:45","14649","14792"
"03.01.2024 14:45 - 03.01.2024 15:00","14659","14910"
"03.01.2024 15:00 - 03.01.2024 15:15","14653","14942"
"03.01.2024 15:15 - 03.01.2024 15:30","14651","14947"
"03.01.2024 15:30 - 03.01.2024 15:45","14656","14973"
"03.01.2024 15:45 - 03.01.2024 16:00","14646","14914"
"03.01.2024 16:00 - 03.01.2024 16:15","14626","14895"
"03.01.2024 16:15 - 03.01.2024 16:30","14613","14918"
"03.01.2024 16:30 - 03.01.2024 16:45","14601","14889"
"03.01.2024 16:45 - 03.01.2024 17:00","14597","14962"
"03.01.2024 17:00 - 03.01.2024 17:15","14608","14962"
"03.01.2024 17:15 - 03.01.2024 17:30","14595","15038"
"03.01.2024 17:30 - 03.01.2024 17:45","14567","15004"
"03.01.2024 17:45 - 03.01.2024 18:00","14531","14967"
"03.01.2024 18:00 - 03.01.2024 18:15","14485","14992"
"03.01.2024 18:15 - 03.01.2024 18:30","14433","14970"
"03.01.2024 18:30 - 03.01.2024 18:45","14381","14870"
"03.01.2024 18:45 - 03.01.2024 19:00","14296","14835"
"03.01.2024 19:00 - 03.01.2024 19:15","14152","14711"
"03.01.2024 19:15 - 03.01.2024 19:30","14084","14620"
"03.01.2024 19:30 - 03.01.2024 19:45","14057","14396"
"03.01.2024 19:45 - 03.01.2024 20:00","14081","14262"
"03.01.2024 20:00 - 03.01.2024 20:15","14195","14485"
"03.01.2024 20:15 - 03.01.2024 20:30","14227","14663"
"03.01.2024 20:30 - 03.01.2024 20:45","14208","14814"
"03.01.2024 20:45 - 03.01.2024 21:00","14183","14779"
"03.01.2024 21:00 - 03.01.2024 21:15","14143","14742"
"03.01.2024 21:15 - 03.01.2024 21:30","14081","14640"
"03.01.2024 21:30 - 03.01.2024 21:45","14011","14556"
"03.01.2024 21:45 - 03.01.2024 22:00","13885","14387"
"03.01.2024 22:00 - 03.01.2024 22:15","13666","14386"
"03.01.2024 22:15 - 03.01.2024 22:30","13550","14414"
"03.01.2024 22:30 - 03.01.2024 22:45","13503","14385"
"03.01.2024 22:45 - 03.01.2024 23:00","13472","14292"
"03.01.2024 23:00 - 03.01.2024 23:15","13684","14101"
"03.01.2024 23:15 - 03.01.2024 23:30","13675","14105"
"03.01.2024 23:30 - 03.01.2024 23:45","13660","14010"
"03.01.2024 23:45 - 04.01.2024 00:00","13628","14008"
"04.01.2024 00:00 - 04.01.2024 00:15","13568","14056"
"04.01.2024 00:15 - 04.01.2024 00:30","13530","14015"
"04.01.2024 00:30 - 04.01.2024 00:45","13505","14057"
"04.01.2024 00:45 - 04.01.2024 01:00","13475","14035"
"04.01.2024 01:00 - 04.01.2024 01:15","13441","14056"
"04.01.2024 01:15 - 04.01.2024 01:30","13424","14052"
"04.01.2024 01:30 - 04.01.2024 01:45","13419","14072"
"04.01.2024 01:45 - 04.01.2024 02:00","13421","14097"
"04.01.2024 02:00 - 04.01.2024 02:15","13429","14099"
"04.01.2024 02:15 - 04.01.2024 02:30","13450","14086"
"04.01.2024 02:30 - 04.01.2024 02:45","13485","14145"
"04.01.2024 02:45 - 04.01.2024 03:00","13523","14185"
"04.01.2024 03:00 - 04.01.2024 03:15","13558","14262"
"04.01.2024 03:15 - 04.01.2024 03:30","13627","14316"
"04.01.2024 03:30 - 04.01.2024 03:45","13714","14315"
