"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"04.01.2024 04:00 - 04.01.2024 04:15","8240","7940"
"04.01.2024 04:15 - 04.01.2024 04:30","8323","8067"
"04.01.2024 04:30 - 04.01.2024 04:45","8414","8143"
"04.01.2024 04:45 - 04.01.2024 05:00","8572","8156"
"04.01.2024 05:00 - 04.01.2024 05:15","8759","8375"
"04.01.2024 05:15 - 04.01.2024 05:30","8952","8568"
"04.01.2024 05:30 - 04.01.2024 05:45","9153","8818"
"04.01.2024 05:45 - 04.01.2024 06:00","9362","9130"
"04.01.2024 06:00 - 04.01.2024 06:15","9437","9368"
"04.01.2024 06:15 - 04.01.2024 06:30","9606","9486"
"04.01.2024 06:30 - 04.01.2024 06:45","9825","9702"
"04.01.2024 06:45 - 04.01.2024 07:00","10000","9867"
"04.01.2024 07:00 - 04.01.2024 07:15","10344","10081"
"04.01.2024 07:15 - 04.01.2024 07:30","10453","10259"
"04.01.2024 07:30 - 04.01.2024 07:45","10550","10411"
"04.01.2024 07:45 - 04.01.2024 08:00","10609","10487"
"04.01.2024 08:00 - 04.01.2024 08:15","10736","10619"
"04.01.2024 08:15 - 04.01.2024 08:30","10825","10548"
"04.01.2024 08:30 - 04.01.2024 08:45","10890","10573"
"04.01.2024 08:45 - 04.01.2024 09:00","10907","10599"
"04.01.2024 09:00 - 04.01.2024 09:15","10939","10699"
"04.01.2024 09:15 - 04.01.2024 09:30","10964","10734"
"04.01.2024 09:30 - 04.01.2024 09:45","10984","10780"
"04.01.2024 09:45 - 04.01.2024 10:00","10986","10813"
"04.01.2024 10:00 - 04.01.2024 10:15","10990","10903"
"04.01.2024 10:15 - 04.01.2024 10:30","11027","10860"
"04.01.2024 10:30 - 04.01.2024 10:45","11110","10872"
"04.01.2024 10:45 - 04.01.2024 11:00","11166","10943"
"04.01.2024 11:00 - 04.01.2024 11:15","11061","10866"
"04.01.2024 11:15 - 04.01.2024 11:30","10982","10786"
"04.01.2024 11:30 - 04.01.2024 11:45","10980","10761"
"04.01.2024 11:45 - 04.01.2024 12:00","10964","10858"
"04.01.2024 12:00 - 04.01.2024 12:15","10977","10855"
"04.01.2024 12:15 - 04.01.2024 12:30","10912","10846"
"04.01.2024 12:30 - 04.01.2024 12:45","10899","10750"
"04.01.2024 12:45 - 04.01.2024 13:00","10841","10635"
"04.01.2024 13:00 - 04.01.2024 13:15","10787","10560"
"04.01.2024 13:15 - 04.01.2024 13:30","10767","10577"
"04.01.2024 13:30 - 04.01.2024 13:45","10741","10536"
"04.01.2024 13:45 - 04.01.2024 14:00","10736","10561"
"04.01.2024 14:00 - 04.01.2024 14:15","10776","10609"
"04.01.2024 14:15 - 04.01.2024 14:30","10752","10443"
"04.01.2024 14:30 - 04.01.2024 14:45","10738","10363"
"04.01.2024 14:45 - 04.01.2024 15:00","10737","10348"
"04.01.2024 15:00 - 04.01.2024 15:15","10730","10437"
"04.01.2024 15:15 - 04.01.2024 15:30","10754","10468"
"04.01.2024 15:30 - 04.01.2024 15:45","10833","10523"
"04.01.2024 15:45 - 04.01.2024 16:00","11021","10687"
"04.01.2024 16:00 - 04.01.2024 16:15","11213","10868"
"04.01.2024 16:15 - 04.01.2024 16:30","11290","11010"
"04.01.2024 16:30 - 04.01.2024 16:45","11349","11105"
"04.01.2024 16:45 - 04.01.2024 17:00","11403","11241"
"04.01.2024 17:00 - 04.01.2024 17:15","11423","11240"
"04.01.2024 17:15 - 04.01.2024 17:30","11371","10996"
"04.01.2024 17:30 - 04.01.2024 17:45","11336","10866"
"04.01.2024 17:45 - 04.01.2024 18:00","11264","10836"
"04.01.2024 18:00 - 04.01.2024 18:15","11153","10637"
"04.01.2024 18:15 - 04.01.2024 18:30","11011","10436"
"04.01.2024 18:30 - 04.01.2024 18:45","10895","10333"
"04.01.2024 18:45 - 04.01.2024 19:00","10765","10300"
"04.01.2024 19:00 - 04.01.2024 19:15","10577","10257"
"04.01.2024 19:15 - 04.01.2024 19:30","10420","10091"
"04.01.2024 19:30 - 04.01.2024 19:45","10303","10053"
"04.01.2024 19:45 - 04.01.2024 20:00","10168","9999"
"04.01.2024 20:00 - 04.01.2024 20:15","10103","9671"
"04.01.2024 20:15 - 04.01.2024 20:30","9993","9571"
"04.01.2024 20:30 - 04.01.2024 20:45","9829","9440"
"04.01.2024 20:45 - 04.01.2024 21:00","9731","9215"
"04.01.2024 21:00 - 04.01.2024 21:15","9871","9385"
"04.01.2024 21:15 - 04.01.2024 21:30","9879","9431"
"04.01.2024 21:30 - 04.01.2024 21:45","9892","9469"
"04.01.2024 21:45 - 04.01.2024 22:00","9803","9386"
"04.01.2024 22:00 - 04.01.2024 22:15","9889","9550"
"04.01.2024 22:15 - 04.01.2024 22:30","9767","9513"
"04.01.2024 22:30 - 04.01.2024 22:45","9623","9373"
"04.01.2024 22:45 - 04.01.2024 23:00","9469","9045"
"04.01.2024 23:00 - 04.01.2024 23:15","9372","8792"
"04.01.2024 23:15 - 04.01.2024 23:30","9184","8815"
"04.01.2024 23:30 - 04.01.2024 23:45","9072","8600"
"04.01.2024 23:45 - 05.01.2024 00:00","8936","8383"
