"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"13.08.2024 04:15 - 13.08.2024 04:30","8111","8353"
"13.08.2024 04:30 - 13.08.2024 04:45","8252","8363"
"13.08.2024 04:45 - 13.08.2024 05:00","8395","8553"
"13.08.2024 05:00 - 13.08.2024 05:15","8646","8810"
"13.08.2024 05:15 - 13.08.2024 05:30","8802","9117"
"13.08.2024 05:30 - 13.08.2024 05:45","8939","9213"
"13.08.2024 05:45 - 13.08.2024 06:00","9095","9386"
"13.08.2024 06:00 - 13.08.2024 06:15","9303","9542"
"13.08.2024 06:15 - 13.08.2024 06:30","9439","9674"
"13.08.2024 06:30 - 13.08.2024 06:45","9571","9850"
"13.08.2024 06:45 - 13.08.2024 07:00","9694","9819"
"13.08.2024 07:00 - 13.08.2024 07:15","9789","9895"
"13.08.2024 07:15 - 13.08.2024 07:30","9869","10044"
"13.08.2024 07:30 - 13.08.2024 07:45","9955","10138"
"13.08.2024 07:45 - 13.08.2024 08:00","10034","10097"
"13.08.2024 08:00 - 13.08.2024 08:15","9964","10124"
"13.08.2024 08:15 - 13.08.2024 08:30","10019","10194"
"13.08.2024 08:30 - 13.08.2024 08:45","10096","10260"
"13.08.2024 08:45 - 13.08.2024 09:00","10139","10412"
"13.08.2024 09:00 - 13.08.2024 09:15","10086","10542"
"13.08.2024 09:15 - 13.08.2024 09:30","10121","10547"
"13.08.2024 09:30 - 13.08.2024 09:45","10189","10632"
"13.08.2024 09:45 - 13.08.2024 10:00","10237","10657"
"13.08.2024 10:00 - 13.08.2024 10:15","10163","10634"
"13.08.2024 10:15 - 13.08.2024 10:30","10086","10627"
"13.08.2024 10:30 - 13.08.2024 10:45","10083","10731"
"13.08.2024 10:45 - 13.08.2024 11:00","10126","10674"
"13.08.2024 11:00 - 13.08.2024 11:15","10132","10602"
"13.08.2024 11:15 - 13.08.2024 11:30","10131","10606"
"13.08.2024 11:30 - 13.08.2024 11:45","10126","10504"
"13.08.2024 11:45 - 13.08.2024 12:00","10064","10396"
"13.08.2024 12:00 - 13.08.2024 12:15","9937","10504"
"13.08.2024 12:15 - 13.08.2024 12:30","9893","10450"
"13.08.2024 12:30 - 13.08.2024 12:45","9871","10516"
"13.08.2024 12:45 - 13.08.2024 13:00","9857","10490"
"13.08.2024 13:00 - 13.08.2024 13:15","9847","10427"
"13.08.2024 13:15 - 13.08.2024 13:30","9777","10479"
"13.08.2024 13:30 - 13.08.2024 13:45","9734","10483"
"13.08.2024 13:45 - 13.08.2024 14:00","9647","10390"
"13.08.2024 14:00 - 13.08.2024 14:15","9689","10264"
"13.08.2024 14:15 - 13.08.2024 14:30","9655","10157"
"13.08.2024 14:30 - 13.08.2024 14:45","9635","10082"
"13.08.2024 14:45 - 13.08.2024 15:00","9625","10086"
"13.08.2024 15:00 - 13.08.2024 15:15","9758","10001"
"13.08.2024 15:15 - 13.08.2024 15:30","9718","9913"
"13.08.2024 15:30 - 13.08.2024 15:45","9710","9858"
"13.08.2024 15:45 - 13.08.2024 16:00","9707","9878"
"13.08.2024 16:00 - 13.08.2024 16:15","9757","9894"
"13.08.2024 16:15 - 13.08.2024 16:30","9688","9935"
"13.08.2024 16:30 - 13.08.2024 16:45","9730","9965"
"13.08.2024 16:45 - 13.08.2024 17:00","9724","9985"
"13.08.2024 17:00 - 13.08.2024 17:15","9725","9840"
"13.08.2024 17:15 - 13.08.2024 17:30","9639","9773"
"13.08.2024 17:30 - 13.08.2024 17:45","9581","9761"
"13.08.2024 17:45 - 13.08.2024 18:00","9525","9713"
"13.08.2024 18:00 - 13.08.2024 18:15","9522","9665"
"13.08.2024 18:15 - 13.08.2024 18:30","9434","9684"
"13.08.2024 18:30 - 13.08.2024 18:45","9334","9604"
"13.08.2024 18:45 - 13.08.2024 19:00","9266","9556"
"13.08.2024 19:00 - 13.08.2024 19:15","9189","9501"
"13.08.2024 19:15 - 13.08.2024 19:30","9162","9411"
"13.08.2024 19:30 - 13.08.2024 19:45","9194","9419"
"13.08.2024 19:45 - 13.08.2024 20:00","9203","9355"
"13.08.2024 20:00 - 13.08.2024 20:15","9200","9229"
"13.08.2024 20:15 - 13.08.2024 20:30","9192","9168"
"13.08.2024 20:30 - 13.08.2024 20:45","9125","9087"
"13.08.2024 20:45 - 13.08.2024 21:00","9002","9092"
"13.08.2024 21:00 - 13.08.2024 21:15","8860","9068"
"13.08.2024 21:15 - 13.08.2024 21:30","8701","8863"
"13.08.2024 21:30 - 13.08.2024 21:45","8562","8672"
"13.08.2024 21:45 - 13.08.2024 22:00","8428","8507"
"13.08.2024 22:00 - 13.08.2024 22:15","8205","8297"
"13.08.2024 22:15 - 13.08.2024 22:30","8064","8188"
"13.08.2024 22:30 - 13.08.2024 22:45","7958","8094"
"13.08.2024 22:45 - 13.08.2024 23:00","7862","8033"
"13.08.2024 23:00 - 13.08.2024 23:15","7783","7965"
"13.08.2024 23:15 - 13.08.2024 23:30","7704","7808"
"13.08.2024 23:30 - 13.08.2024 23:45","7624","7735"
"13.08.2024 23:45 - 14.08.2024 00:00","7560","7658"
"14.08.2024 00:00 - 14.08.2024 00:15","7516","7638"
"14.08.2024 00:15 - 14.08.2024 00:30","7476","7528"
"14.08.2024 00:30 - 14.08.2024 00:45","7454","7545"
"14.08.2024 00:45 - 14.08.2024 01:00","7437","7499"
"14.08.2024 01:00 - 14.08.2024 01:15","7435","7520"
"14.08.2024 01:15 - 14.08.2024 01:30","7404","7496"
"14.08.2024 01:30 - 14.08.2024 01:45","7392","7438"
"14.08.2024 01:45 - 14.08.2024 02:00","7382","7439"
"14.08.2024 02:00 - 14.08.2024 02:15","7481","7426"
"14.08.2024 02:15 - 14.08.2024 02:30","7477","7399"
"14.08.2024 02:30 - 14.08.2024 02:45","7490","7372"
"14.08.2024 02:45 - 14.08.2024 03:00","7511","7465"
"14.08.2024 03:00 - 14.08.2024 03:15","7596","7629"
"14.08.2024 03:15 - 14.08.2024 03:30","7663","7663"
"14.08.2024 03:30 - 14.08.2024 03:45","7729","7708"
"14.08.2024 03:45 - 14.08.2024 04:00","7803","7872"
"14.08.2024 04:00 - 14.08.2024 04:15","8079","8086"
"14.08.2024 04:15 - 14.08.2024 04:30","8214","8218"
"14.08.2024 04:30 - 14.08.2024 04:45","8356","8304"
"14.08.2024 04:45 - 14.08.2024 05:00","8501","8410"
"14.08.2024 05:00 - 14.08.2024 05:15","8851","8590"
"14.08.2024 05:15 - 14.08.2024 05:30","9011","8788"
"14.08.2024 05:30 - 14.08.2024 05:45","9151","8950"
"14.08.2024 05:45 - 14.08.2024 06:00","9311","9113"
"14.08.2024 06:00 - 14.08.2024 06:15","9412","9317"
"14.08.2024 06:15 - 14.08.2024 06:30","9550","9425"
"14.08.2024 06:30 - 14.08.2024 06:45","9684","9496"
"14.08.2024 06:45 - 14.08.2024 07:00","9808","9509"
"14.08.2024 07:00 - 14.08.2024 07:15","9808","9621"
"14.08.2024 07:15 - 14.08.2024 07:30","9889","9679"
"14.08.2024 07:30 - 14.08.2024 07:45","9975","9752"
"14.08.2024 07:45 - 14.08.2024 08:00","10054","9883"
"14.08.2024 08:00 - 14.08.2024 08:15","9994","9940"
"14.08.2024 08:15 - 14.08.2024 08:30","10049","10059"
"14.08.2024 08:30 - 14.08.2024 08:45","10126","10152"
"14.08.2024 08:45 - 14.08.2024 09:00","10169","10158"
"14.08.2024 09:00 - 14.08.2024 09:15","10232","10096"
"14.08.2024 09:15 - 14.08.2024 09:30","10268","10087"
"14.08.2024 09:30 - 14.08.2024 09:45","10336","10105"
"14.08.2024 09:45 - 14.08.2024 10:00","10385","10179"
"14.08.2024 10:00 - 14.08.2024 10:15","10346","10139"
"14.08.2024 10:15 - 14.08.2024 10:30","10267","10127"
"14.08.2024 10:30 - 14.08.2024 10:45","10264","10210"
"14.08.2024 10:45 - 14.08.2024 11:00","10308","10107"
"14.08.2024 11:00 - 14.08.2024 11:15","10226","10157"
"14.08.2024 11:15 - 14.08.2024 11:30","10225","10158"
"14.08.2024 11:30 - 14.08.2024 11:45","10220","10168"
"14.08.2024 11:45 - 14.08.2024 12:00","10157","10175"
"14.08.2024 12:00 - 14.08.2024 12:15","10120","10067"
"14.08.2024 12:15 - 14.08.2024 12:30","10075","9974"
"14.08.2024 12:30 - 14.08.2024 12:45","10053","9853"
"14.08.2024 12:45 - 14.08.2024 13:00","10039","9867"
"14.08.2024 13:00 - 14.08.2024 13:15","10013","9891"
"14.08.2024 13:15 - 14.08.2024 13:30","9942","9985"
"14.08.2024 13:30 - 14.08.2024 13:45","9898","10005"
"14.08.2024 13:45 - 14.08.2024 14:00","9811","10011"
"14.08.2024 14:00 - 14.08.2024 14:15","9576","10013"
"14.08.2024 14:15 - 14.08.2024 14:30","9542","9968"
"14.08.2024 14:30 - 14.08.2024 14:45","9522","9834"
"14.08.2024 14:45 - 14.08.2024 15:00","9512","9721"
"14.08.2024 15:00 - 14.08.2024 15:15","9619","9748"
"14.08.2024 15:15 - 14.08.2024 15:30","9580","9671"
"14.08.2024 15:30 - 14.08.2024 15:45","9572","9676"
"14.08.2024 15:45 - 14.08.2024 16:00","9568","9647"
"14.08.2024 16:00 - 14.08.2024 16:15","9584","9688"
"14.08.2024 16:15 - 14.08.2024 16:30","9516","9623"
"14.08.2024 16:30 - 14.08.2024 16:45","9557","9537"
"14.08.2024 16:45 - 14.08.2024 17:00","9551","9421"
"14.08.2024 17:00 - 14.08.2024 17:15","9563","9392"
"14.08.2024 17:15 - 14.08.2024 17:30","9478","9327"
"14.08.2024 17:30 - 14.08.2024 17:45","9422","9182"
"14.08.2024 17:45 - 14.08.2024 18:00","9366","9088"
"14.08.2024 18:00 - 14.08.2024 18:15","9516","9089"
"14.08.2024 18:15 - 14.08.2024 18:30","9428","8986"
"14.08.2024 18:30 - 14.08.2024 18:45","9328","8836"
"14.08.2024 18:45 - 14.08.2024 19:00","9259","8777"
"14.08.2024 19:00 - 14.08.2024 19:15","9160","8836"
"14.08.2024 19:15 - 14.08.2024 19:30","9132","8890"
"14.08.2024 19:30 - 14.08.2024 19:45","9165","8896"
"14.08.2024 19:45 - 14.08.2024 20:00","9174","8859"
"14.08.2024 20:00 - 14.08.2024 20:15","9123","8840"
"14.08.2024 20:15 - 14.08.2024 20:30","9116","8830"
"14.08.2024 20:30 - 14.08.2024 20:45","9049","8831"
"14.08.2024 20:45 - 14.08.2024 21:00","8927","8750"
"14.08.2024 21:00 - 14.08.2024 21:15","8789","8587"
"14.08.2024 21:15 - 14.08.2024 21:30","8632","8439"
"14.08.2024 21:30 - 14.08.2024 21:45","8494","8301"
"14.08.2024 21:45 - 14.08.2024 22:00","8361","8220"
"14.08.2024 22:00 - 14.08.2024 22:15","8122","8051"
"14.08.2024 22:15 - 14.08.2024 22:30","7984","7934"
"14.08.2024 22:30 - 14.08.2024 22:45","7878","7817"
"14.08.2024 22:45 - 14.08.2024 23:00","7787","7690"
"14.08.2024 23:00 - 14.08.2024 23:15","7672","7637"
"14.08.2024 23:15 - 14.08.2024 23:30","7581","7594"
"14.08.2024 23:30 - 14.08.2024 23:45","7497","7501"
"14.08.2024 23:45 - 15.08.2024 00:00","7428","7424"
"15.08.2024 00:00 - 15.08.2024 00:15","7083","7367"
"15.08.2024 00:15 - 15.08.2024 00:30","7028","7299"
"15.08.2024 00:30 - 15.08.2024 00:45","6970","7279"
"15.08.2024 00:45 - 15.08.2024 01:00","6942","7241"
"15.08.2024 01:00 - 15.08.2024 01:15","6925","7211"
"15.08.2024 01:15 - 15.08.2024 01:30","6894","7230"
"15.08.2024 01:30 - 15.08.2024 01:45","6854","7166"
"15.08.2024 01:45 - 15.08.2024 02:00","6857","7186"
"15.08.2024 02:00 - 15.08.2024 02:15","6861","7090"
"15.08.2024 02:15 - 15.08.2024 02:30","6848","7092"
"15.08.2024 02:30 - 15.08.2024 02:45","6820","7114"
"15.08.2024 02:45 - 15.08.2024 03:00","6869","7133"
"15.08.2024 03:00 - 15.08.2024 03:15","6926","7100"
"15.08.2024 03:15 - 15.08.2024 03:30","6975","7080"
"15.08.2024 03:30 - 15.08.2024 03:45","6974","7073"
"15.08.2024 03:45 - 15.08.2024 04:00","7003","7047"
"15.08.2024 04:00 - 15.08.2024 04:15","7034","7025"
"15.08.2024 04:15 - 15.08.2024 04:30","7066","7043"
"15.08.2024 04:30 - 15.08.2024 04:45","7105","7061"
"15.08.2024 04:45 - 15.08.2024 05:00","7129","7304"
"15.08.2024 05:00 - 15.08.2024 05:15","7175","7396"
"15.08.2024 05:15 - 15.08.2024 05:30","7217","7436"
"15.08.2024 05:30 - 15.08.2024 05:45","7300","7579"
"15.08.2024 05:45 - 15.08.2024 06:00","7385","7681"
"15.08.2024 06:00 - 15.08.2024 06:15","7480","7740"
"15.08.2024 06:15 - 15.08.2024 06:30","7583","7794"
"15.08.2024 06:30 - 15.08.2024 06:45","7671","7884"
"15.08.2024 06:45 - 15.08.2024 07:00","7776","8194"
"15.08.2024 07:00 - 15.08.2024 07:15","7878","8131"
"15.08.2024 07:15 - 15.08.2024 07:30","7972","8271"
"15.08.2024 07:30 - 15.08.2024 07:45","8031","8371"
"15.08.2024 07:45 - 15.08.2024 08:00","8056","8543"
"15.08.2024 08:00 - 15.08.2024 08:15","8101","8556"
"15.08.2024 08:15 - 15.08.2024 08:30","8162","8599"
"15.08.2024 08:30 - 15.08.2024 08:45","8234","8647"
"15.08.2024 08:45 - 15.08.2024 09:00","8277","8736"
"15.08.2024 09:00 - 15.08.2024 09:15","8307","8767"
"15.08.2024 09:15 - 15.08.2024 09:30","8344","8737"
"15.08.2024 09:30 - 15.08.2024 09:45","8391","8912"
"15.08.2024 09:45 - 15.08.2024 10:00","8387","8920"
"15.08.2024 10:00 - 15.08.2024 10:15","8378","8869"
"15.08.2024 10:15 - 15.08.2024 10:30","8374","8643"
"15.08.2024 10:30 - 15.08.2024 10:45","8415","8681"
"15.08.2024 10:45 - 15.08.2024 11:00","8366","8686"
"15.08.2024 11:00 - 15.08.2024 11:15","8294","8723"
"15.08.2024 11:15 - 15.08.2024 11:30","8202","8694"
"15.08.2024 11:30 - 15.08.2024 11:45","8165","8678"
"15.08.2024 11:45 - 15.08.2024 12:00","8125","8652"
"15.08.2024 12:00 - 15.08.2024 12:15","8089","8604"
"15.08.2024 12:15 - 15.08.2024 12:30","8058","8520"
"15.08.2024 12:30 - 15.08.2024 12:45","8020","8520"
"15.08.2024 12:45 - 15.08.2024 13:00","7987","8368"
"15.08.2024 13:00 - 15.08.2024 13:15","7965","8399"
"15.08.2024 13:15 - 15.08.2024 13:30","7954","8264"
"15.08.2024 13:30 - 15.08.2024 13:45","7928","8337"
"15.08.2024 13:45 - 15.08.2024 14:00","7924","8375"
"15.08.2024 14:00 - 15.08.2024 14:15","7923","8448"
"15.08.2024 14:15 - 15.08.2024 14:30","7932","8308"
"15.08.2024 14:30 - 15.08.2024 14:45","7925","8340"
"15.08.2024 14:45 - 15.08.2024 15:00","7945","8292"
"15.08.2024 15:00 - 15.08.2024 15:15","7983","8282"
"15.08.2024 15:15 - 15.08.2024 15:30","8039","8279"
"15.08.2024 15:30 - 15.08.2024 15:45","8108","8244"
"15.08.2024 15:45 - 15.08.2024 16:00","8151","8368"
"15.08.2024 16:00 - 15.08.2024 16:15","8220","8488"
"15.08.2024 16:15 - 15.08.2024 16:30","8290","8521"
"15.08.2024 16:30 - 15.08.2024 16:45","8391","8508"
"15.08.2024 16:45 - 15.08.2024 17:00","8418","8511"
"15.08.2024 17:00 - 15.08.2024 17:15","8406","8535"
"15.08.2024 17:15 - 15.08.2024 17:30","8372","8510"
"15.08.2024 17:30 - 15.08.2024 17:45","8349","8522"
"15.08.2024 17:45 - 15.08.2024 18:00","8360","8507"
"15.08.2024 18:00 - 15.08.2024 18:15","8343","8530"
"15.08.2024 18:15 - 15.08.2024 18:30","8318","8399"
"15.08.2024 18:30 - 15.08.2024 18:45","8237","8400"
"15.08.2024 18:45 - 15.08.2024 19:00","8301","8272"
"15.08.2024 19:00 - 15.08.2024 19:15","8367","8382"
"15.08.2024 19:15 - 15.08.2024 19:30","8440","8455"
"15.08.2024 19:30 - 15.08.2024 19:45","8384","8467"
"15.08.2024 19:45 - 15.08.2024 20:00","8331","8426"
"15.08.2024 20:00 - 15.08.2024 20:15","8287","8469"
"15.08.2024 20:15 - 15.08.2024 20:30","8231","8369"
"15.08.2024 20:30 - 15.08.2024 20:45","8164","8305"
"15.08.2024 20:45 - 15.08.2024 21:00","8012","8249"
"15.08.2024 21:00 - 15.08.2024 21:15","7893","8150"
"15.08.2024 21:15 - 15.08.2024 21:30","7795","8081"
"15.08.2024 21:30 - 15.08.2024 21:45","7768","8008"
"15.08.2024 21:45 - 15.08.2024 22:00","7684","7907"
"15.08.2024 22:00 - 15.08.2024 22:15","7630","7799"
"15.08.2024 22:15 - 15.08.2024 22:30","7523","7662"
"15.08.2024 22:30 - 15.08.2024 22:45","7439","7629"
"15.08.2024 22:45 - 15.08.2024 23:00","7397","7473"
"15.08.2024 23:00 - 15.08.2024 23:15","7336","7429"
"15.08.2024 23:15 - 15.08.2024 23:30","7268","7310"
"15.08.2024 23:30 - 15.08.2024 23:45","7164","7248"
"15.08.2024 23:45 - 16.08.2024 00:00","7100","7230"
"16.08.2024 00:00 - 16.08.2024 00:15","7167","7139"
"16.08.2024 00:15 - 16.08.2024 00:30","7150","7038"
"16.08.2024 00:30 - 16.08.2024 00:45","7126","7057"
"16.08.2024 00:45 - 16.08.2024 01:00","7099","6984"
"16.08.2024 01:00 - 16.08.2024 01:15","7068","6950"
"16.08.2024 01:15 - 16.08.2024 01:30","7040","7072"
"16.08.2024 01:30 - 16.08.2024 01:45","7023","7061"
"16.08.2024 01:45 - 16.08.2024 02:00","7037","7116"
"16.08.2024 02:00 - 16.08.2024 02:15","7052","7217"
"16.08.2024 02:15 - 16.08.2024 02:30","7080","7167"
"16.08.2024 02:30 - 16.08.2024 02:45","7089","7154"
"16.08.2024 02:45 - 16.08.2024 03:00","7130","7201"
"16.08.2024 03:00 - 16.08.2024 03:15","7189","7254"
"16.08.2024 03:15 - 16.08.2024 03:30","7263","7336"
"16.08.2024 03:30 - 16.08.2024 03:45","7335","7268"
"16.08.2024 03:45 - 16.08.2024 04:00","7419","7367"
"16.08.2024 04:00 - 16.08.2024 04:15","7525","7501"
"16.08.2024 04:15 - 16.08.2024 04:30","7640","7519"
"16.08.2024 04:30 - 16.08.2024 04:45","7765","7473"
"16.08.2024 04:45 - 16.08.2024 05:00","7883","7620"
"16.08.2024 05:00 - 16.08.2024 05:15","8021","7730"
"16.08.2024 05:15 - 16.08.2024 05:30","8158","7752"
"16.08.2024 05:30 - 16.08.2024 05:45","8308","8057"
"16.08.2024 05:45 - 16.08.2024 06:00","8436","8263"
"16.08.2024 06:00 - 16.08.2024 06:15","8562","8288"
"16.08.2024 06:15 - 16.08.2024 06:30","8678","8325"
"16.08.2024 06:30 - 16.08.2024 06:45","8787","8485"
"16.08.2024 06:45 - 16.08.2024 07:00","8880","8600"
"16.08.2024 07:00 - 16.08.2024 07:15","8960","8573"
"16.08.2024 07:15 - 16.08.2024 07:30","9038","8613"
"16.08.2024 07:30 - 16.08.2024 07:45","9114","8787"
"16.08.2024 07:45 - 16.08.2024 08:00","9150","8793"
"16.08.2024 08:00 - 16.08.2024 08:15","9181","8835"
"16.08.2024 08:15 - 16.08.2024 08:30","9214","8911"
"16.08.2024 08:30 - 16.08.2024 08:45","9276","9053"
"16.08.2024 08:45 - 16.08.2024 09:00","9317","9106"
"16.08.2024 09:00 - 16.08.2024 09:15","9339","9290"
"16.08.2024 09:15 - 16.08.2024 09:30","9363","9378"
"16.08.2024 09:30 - 16.08.2024 09:45","9400","9417"
"16.08.2024 09:45 - 16.08.2024 10:00","9412","9377"
"16.08.2024 10:00 - 16.08.2024 10:15","9385","9257"
"16.08.2024 10:15 - 16.08.2024 10:30","9349","9153"
"16.08.2024 10:30 - 16.08.2024 10:45","9336","9099"
"16.08.2024 10:45 - 16.08.2024 11:00","9311","9070"
"16.08.2024 11:00 - 16.08.2024 11:15","9284","9144"
"16.08.2024 11:15 - 16.08.2024 11:30","9249","9135"
"16.08.2024 11:30 - 16.08.2024 11:45","9230","9116"
"16.08.2024 11:45 - 16.08.2024 12:00","9178","9027"
"16.08.2024 12:00 - 16.08.2024 12:15","9116","9046"
"16.08.2024 12:15 - 16.08.2024 12:30","9064","8979"
"16.08.2024 12:30 - 16.08.2024 12:45","9040","8925"
"16.08.2024 12:45 - 16.08.2024 13:00","9005","8870"
"16.08.2024 13:00 - 16.08.2024 13:15","8964","8715"
"16.08.2024 13:15 - 16.08.2024 13:30","8918","8760"
"16.08.2024 13:30 - 16.08.2024 13:45","8872","8698"
"16.08.2024 13:45 - 16.08.2024 14:00","8869","8591"
"16.08.2024 14:00 - 16.08.2024 14:15","8864","8615"
"16.08.2024 14:15 - 16.08.2024 14:30","8870","8617"
"16.08.2024 14:30 - 16.08.2024 14:45","8839","8597"
"16.08.2024 14:45 - 16.08.2024 15:00","8869","8656"
"16.08.2024 15:00 - 16.08.2024 15:15","8895","8614"
"16.08.2024 15:15 - 16.08.2024 15:30","8925","8645"
"16.08.2024 15:30 - 16.08.2024 15:45","8906","8753"
"16.08.2024 15:45 - 16.08.2024 16:00","8933","8832"
"16.08.2024 16:00 - 16.08.2024 16:15","8949","8913"
"16.08.2024 16:15 - 16.08.2024 16:30","8973","8836"
"16.08.2024 16:30 - 16.08.2024 16:45","8964","8765"
"16.08.2024 16:45 - 16.08.2024 17:00","8981","8744"
"16.08.2024 17:00 - 16.08.2024 17:15","8964","8580"
"16.08.2024 17:15 - 16.08.2024 17:30","8929","8588"
"16.08.2024 17:30 - 16.08.2024 17:45","8863","8543"
"16.08.2024 17:45 - 16.08.2024 18:00","8853","8635"
"16.08.2024 18:00 - 16.08.2024 18:15","8837","8577"
"16.08.2024 18:15 - 16.08.2024 18:30","8809","8440"
"16.08.2024 18:30 - 16.08.2024 18:45","8732","8455"
"16.08.2024 18:45 - 16.08.2024 19:00","8687","8430"
"16.08.2024 19:00 - 16.08.2024 19:15","8667","8536"
"16.08.2024 19:15 - 16.08.2024 19:30","8674","8537"
"16.08.2024 19:30 - 16.08.2024 19:45","8673","8545"
"16.08.2024 19:45 - 16.08.2024 20:00","8680","8579"
"16.08.2024 20:00 - 16.08.2024 20:15","8674","8505"
"16.08.2024 20:15 - 16.08.2024 20:30","8649","8408"
"16.08.2024 20:30 - 16.08.2024 20:45","8590","8315"
"16.08.2024 20:45 - 16.08.2024 21:00","8530","8132"
"16.08.2024 21:00 - 16.08.2024 21:15","8437","8137"
"16.08.2024 21:15 - 16.08.2024 21:30","8330","8049"
"16.08.2024 21:30 - 16.08.2024 21:45","8189","7907"
"16.08.2024 21:45 - 16.08.2024 22:00","8090","7746"
"16.08.2024 22:00 - 16.08.2024 22:15","7993","7822"
"16.08.2024 22:15 - 16.08.2024 22:30","7902","7641"
"16.08.2024 22:30 - 16.08.2024 22:45","7789","7563"
"16.08.2024 22:45 - 16.08.2024 23:00","7721","7557"
"16.08.2024 23:00 - 16.08.2024 23:15","7660","7492"
"16.08.2024 23:15 - 16.08.2024 23:30","7602","7465"
"16.08.2024 23:30 - 16.08.2024 23:45","7521","7442"
"16.08.2024 23:45 - 17.08.2024 00:00","7469","7334"
"17.08.2024 00:00 - 17.08.2024 00:15","7501","7263"
"17.08.2024 00:15 - 17.08.2024 00:30","7458","7243"
"17.08.2024 00:30 - 17.08.2024 00:45","7392","7168"
"17.08.2024 00:45 - 17.08.2024 01:00","7379","7190"
"17.08.2024 01:00 - 17.08.2024 01:15","7321","7292"
"17.08.2024 01:15 - 17.08.2024 01:30","7278","7157"
"17.08.2024 01:30 - 17.08.2024 01:45","7232","7193"
"17.08.2024 01:45 - 17.08.2024 02:00","7182","7144"
"17.08.2024 02:00 - 17.08.2024 02:15","7187","7081"
"17.08.2024 02:15 - 17.08.2024 02:30","7190","7113"
"17.08.2024 02:30 - 17.08.2024 02:45","7163","7125"
"17.08.2024 02:45 - 17.08.2024 03:00","7149","7100"
"17.08.2024 03:00 - 17.08.2024 03:15","7043","7092"
"17.08.2024 03:15 - 17.08.2024 03:30","7034","7055"
"17.08.2024 03:30 - 17.08.2024 03:45","7038","7088"
"17.08.2024 03:45 - 17.08.2024 04:00","7069","7084"
"17.08.2024 04:00 - 17.08.2024 04:15","7091","7259"
"17.08.2024 04:15 - 17.08.2024 04:30","7115","7321"
"17.08.2024 04:30 - 17.08.2024 04:45","7158","7294"
"17.08.2024 04:45 - 17.08.2024 05:00","7240","7300"
"17.08.2024 05:00 - 17.08.2024 05:15","7310","7346"
"17.08.2024 05:15 - 17.08.2024 05:30","7399","7475"
"17.08.2024 05:30 - 17.08.2024 05:45","7491","7570"
"17.08.2024 05:45 - 17.08.2024 06:00","7569","7692"
"17.08.2024 06:00 - 17.08.2024 06:15","7753","7766"
"17.08.2024 06:15 - 17.08.2024 06:30","7871","8018"
"17.08.2024 06:30 - 17.08.2024 06:45","7981","8129"
"17.08.2024 06:45 - 17.08.2024 07:00","8117","8136"
"17.08.2024 07:00 - 17.08.2024 07:15","8223","8238"
"17.08.2024 07:15 - 17.08.2024 07:30","8342","8395"
"17.08.2024 07:30 - 17.08.2024 07:45","8495","8550"
"17.08.2024 07:45 - 17.08.2024 08:00","8631","8667"
"17.08.2024 08:00 - 17.08.2024 08:15","8646","8701"
"17.08.2024 08:15 - 17.08.2024 08:30","8714","8783"
"17.08.2024 08:30 - 17.08.2024 08:45","8801","8823"
"17.08.2024 08:45 - 17.08.2024 09:00","8899","8922"
"17.08.2024 09:00 - 17.08.2024 09:15","8915","9065"
"17.08.2024 09:15 - 17.08.2024 09:30","8942","9069"
"17.08.2024 09:30 - 17.08.2024 09:45","9031","9062"
"17.08.2024 09:45 - 17.08.2024 10:00","9114","9008"
"17.08.2024 10:00 - 17.08.2024 10:15","9040","8910"
"17.08.2024 10:15 - 17.08.2024 10:30","8986","8893"
"17.08.2024 10:30 - 17.08.2024 10:45","9005","8909"
"17.08.2024 10:45 - 17.08.2024 11:00","9005","8945"
"17.08.2024 11:00 - 17.08.2024 11:15","9138","9014"
"17.08.2024 11:15 - 17.08.2024 11:30","9138","8988"
"17.08.2024 11:30 - 17.08.2024 11:45","9067","9013"
"17.08.2024 11:45 - 17.08.2024 12:00","8998","9033"
"17.08.2024 12:00 - 17.08.2024 12:15","9149","8948"
"17.08.2024 12:15 - 17.08.2024 12:30","9109","8881"
"17.08.2024 12:30 - 17.08.2024 12:45","9057","8841"
"17.08.2024 12:45 - 17.08.2024 13:00","9002","8820"
"17.08.2024 13:00 - 17.08.2024 13:15","8914","8819"
"17.08.2024 13:15 - 17.08.2024 13:30","8881","8755"
"17.08.2024 13:30 - 17.08.2024 13:45","8852","8553"
"17.08.2024 13:45 - 17.08.2024 14:00","8829","8249"
"17.08.2024 14:00 - 17.08.2024 14:15","8660","8279"
"17.08.2024 14:15 - 17.08.2024 14:30","8620","8292"
"17.08.2024 14:30 - 17.08.2024 14:45","8617","8297"
"17.08.2024 14:45 - 17.08.2024 15:00","8622","8329"
"17.08.2024 15:00 - 17.08.2024 15:15","8580","8368"
"17.08.2024 15:15 - 17.08.2024 15:30","8561","8432"
"17.08.2024 15:30 - 17.08.2024 15:45","8589","8503"
"17.08.2024 15:45 - 17.08.2024 16:00","8587","8580"
"17.08.2024 16:00 - 17.08.2024 16:15","8482","8655"
"17.08.2024 16:15 - 17.08.2024 16:30","8489","8575"
"17.08.2024 16:30 - 17.08.2024 16:45","8548","8446"
"17.08.2024 16:45 - 17.08.2024 17:00","8517","8516"
