"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"20.07.2024 16:00 - 20.07.2024 16:15","28947","29624"
"20.07.2024 16:15 - 20.07.2024 16:30","29125","29672"
"20.07.2024 16:30 - 20.07.2024 16:45","29327","29840"
"20.07.2024 16:45 - 20.07.2024 17:00","29538","30076"
"20.07.2024 17:00 - 20.07.2024 17:15","29809","30164"
"20.07.2024 17:15 - 20.07.2024 17:30","29979","30492"
"20.07.2024 17:30 - 20.07.2024 17:45","30105","30636"
"20.07.2024 17:45 - 20.07.2024 18:00","30191","30804"
"20.07.2024 18:00 - 20.07.2024 18:15","30280","30608"
"20.07.2024 18:15 - 20.07.2024 18:30","30317","30768"
"20.07.2024 18:30 - 20.07.2024 18:45","30343","30808"
"20.07.2024 18:45 - 20.07.2024 19:00","30367","30648"
"20.07.2024 19:00 - 20.07.2024 19:15","30388","30764"
"20.07.2024 19:15 - 20.07.2024 19:30","30423","30848"
"20.07.2024 19:30 - 20.07.2024 19:45","30464","30836"
"20.07.2024 19:45 - 20.07.2024 20:00","30477","30900"
"20.07.2024 20:00 - 20.07.2024 20:15","30662","31088"
"20.07.2024 20:15 - 20.07.2024 20:30","30487","30892"
"20.07.2024 20:30 - 20.07.2024 20:45","30166","30328"
"20.07.2024 20:45 - 20.07.2024 21:00","29723","29944"
"20.07.2024 21:00 - 20.07.2024 21:15","29279","29536"
"20.07.2024 21:15 - 20.07.2024 21:30","28702","29076"
"20.07.2024 21:30 - 20.07.2024 21:45","28113","28532"
"20.07.2024 21:45 - 20.07.2024 22:00","27531","27988"
"20.07.2024 22:00 - 20.07.2024 22:15","27083","27580"
"20.07.2024 22:15 - 20.07.2024 22:30","26636","27028"
"20.07.2024 22:30 - 20.07.2024 22:45","26191","26672"
"20.07.2024 22:45 - 20.07.2024 23:00","25753","26188"
"20.07.2024 23:00 - 20.07.2024 23:15","25291","25680"
"20.07.2024 23:15 - 20.07.2024 23:30","24896","25312"
"20.07.2024 23:30 - 20.07.2024 23:45","24534","24820"
"20.07.2024 23:45 - 21.07.2024 00:00","24204","24508"
"21.07.2024 00:00 - 21.07.2024 00:15","23856","24204"
"21.07.2024 00:15 - 21.07.2024 00:30","23586","23860"
"21.07.2024 00:30 - 21.07.2024 00:45","23343","23532"
"21.07.2024 00:45 - 21.07.2024 01:00","23124","23288"
"21.07.2024 01:00 - 21.07.2024 01:15","22896","23012"
"21.07.2024 01:15 - 21.07.2024 01:30","22717","22848"
"21.07.2024 01:30 - 21.07.2024 01:45","22554","22592"
"21.07.2024 01:45 - 21.07.2024 02:00","22405","22496"
"21.07.2024 02:00 - 21.07.2024 02:15","22248","22392"
"21.07.2024 02:15 - 21.07.2024 02:30","22122","22044"
"21.07.2024 02:30 - 21.07.2024 02:45","22005","21980"
"21.07.2024 02:45 - 21.07.2024 03:00","21904","21980"
"21.07.2024 03:00 - 21.07.2024 03:15","21772","21896"
"21.07.2024 03:15 - 21.07.2024 03:30","21724","21720"
"21.07.2024 03:30 - 21.07.2024 03:45","21706","21748"
"21.07.2024 03:45 - 21.07.2024 04:00","21703","21788"
"21.07.2024 04:00 - 21.07.2024 04:15","21755","21612"
"21.07.2024 04:15 - 21.07.2024 04:30","21711","21780"
"21.07.2024 04:30 - 21.07.2024 04:45","21620","21848"
"21.07.2024 04:45 - 21.07.2024 05:00","21507","21700"
"21.07.2024 05:00 - 21.07.2024 05:15","21307","21536"
"21.07.2024 05:15 - 21.07.2024 05:30","21245","21508"
"21.07.2024 05:30 - 21.07.2024 05:45","21249","21452"
"21.07.2024 05:45 - 21.07.2024 06:00","21316","21332"
"21.07.2024 06:00 - 21.07.2024 06:15","21353","21372"
"21.07.2024 06:15 - 21.07.2024 06:30","21519","21740"
"21.07.2024 06:30 - 21.07.2024 06:45","21721","21832"
"21.07.2024 06:45 - 21.07.2024 07:00","21960","21912"
"21.07.2024 07:00 - 21.07.2024 07:15","22178","22128"
"21.07.2024 07:15 - 21.07.2024 07:30","22491","22436"
"21.07.2024 07:30 - 21.07.2024 07:45","22838","22812"
"21.07.2024 07:45 - 21.07.2024 08:00","23195","23008"
"21.07.2024 08:00 - 21.07.2024 08:15","23651","23264"
"21.07.2024 08:15 - 21.07.2024 08:30","23937","23436"
"21.07.2024 08:30 - 21.07.2024 08:45","24151","23540"
"21.07.2024 08:45 - 21.07.2024 09:00","24303","23720"
"21.07.2024 09:00 - 21.07.2024 09:15","24442","23884"
"21.07.2024 09:15 - 21.07.2024 09:30","24537","24028"
"21.07.2024 09:30 - 21.07.2024 09:45","24632","23884"
"21.07.2024 09:45 - 21.07.2024 10:00","24737","24152"
"21.07.2024 10:00 - 21.07.2024 10:15","24811","24224"
"21.07.2024 10:15 - 21.07.2024 10:30","24954","24312"
"21.07.2024 10:30 - 21.07.2024 10:45","25125","24364"
"21.07.2024 10:45 - 21.07.2024 11:00","25318","24680"
"21.07.2024 11:00 - 21.07.2024 11:15","25530","24752"
"21.07.2024 11:15 - 21.07.2024 11:30","25744","24884"
"21.07.2024 11:30 - 21.07.2024 11:45","25953","25044"
"21.07.2024 11:45 - 21.07.2024 12:00","26133","25232"
"21.07.2024 12:00 - 21.07.2024 12:15","26431","25468"
"21.07.2024 12:15 - 21.07.2024 12:30","26468","25608"
"21.07.2024 12:30 - 21.07.2024 12:45","26401","25608"
"21.07.2024 12:45 - 21.07.2024 13:00","26259","25352"
"21.07.2024 13:00 - 21.07.2024 13:15","26050","25208"
"21.07.2024 13:15 - 21.07.2024 13:30","25879","25300"
"21.07.2024 13:30 - 21.07.2024 13:45","25748","25184"
"21.07.2024 13:45 - 21.07.2024 14:00","25665","25084"
"21.07.2024 14:00 - 21.07.2024 14:15","25526","24888"
"21.07.2024 14:15 - 21.07.2024 14:30","25550","24784"
"21.07.2024 14:30 - 21.07.2024 14:45","25630","24764"
"21.07.2024 14:45 - 21.07.2024 15:00","25755","24824"
"21.07.2024 15:00 - 21.07.2024 15:15","25877","24868"
"21.07.2024 15:15 - 21.07.2024 15:30","26060","25056"
"21.07.2024 15:30 - 21.07.2024 15:45","26257","25176"
"21.07.2024 15:45 - 21.07.2024 16:00","26465","25408"
"21.07.2024 16:00 - 21.07.2024 16:15","26668","25544"
"21.07.2024 16:15 - 21.07.2024 16:30","26901","25824"
"21.07.2024 16:30 - 21.07.2024 16:45","27146","26088"
"21.07.2024 16:45 - 21.07.2024 17:00","27394","26264"
"21.07.2024 17:00 - 21.07.2024 17:15","27673","26592"
"21.07.2024 17:15 - 21.07.2024 17:30","27902","26992"
"21.07.2024 17:30 - 21.07.2024 17:45","28111","27200"
"21.07.2024 17:45 - 21.07.2024 18:00","28303","27364"
"21.07.2024 18:00 - 21.07.2024 18:15","28490","27276"
"21.07.2024 18:15 - 21.07.2024 18:30","28673","27792"
"21.07.2024 18:30 - 21.07.2024 18:45","28860","27928"
"21.07.2024 18:45 - 21.07.2024 19:00","29046","28120"
"21.07.2024 19:00 - 21.07.2024 19:15","29276","28304"
"21.07.2024 19:15 - 21.07.2024 19:30","29438","28508"
"21.07.2024 19:30 - 21.07.2024 19:45","29573","28756"
"21.07.2024 19:45 - 21.07.2024 20:00","29645","29112"
"21.07.2024 20:00 - 21.07.2024 20:15","29901","29496"
"21.07.2024 20:15 - 21.07.2024 20:30","29727","29604"
"21.07.2024 20:30 - 21.07.2024 20:45","29388","29432"
"21.07.2024 20:45 - 21.07.2024 21:00","28935","29292"
"21.07.2024 21:00 - 21.07.2024 21:15","28375","28908"
"21.07.2024 21:15 - 21.07.2024 21:30","27905","28252"
"21.07.2024 21:30 - 21.07.2024 21:45","27512","27800"
"21.07.2024 21:45 - 21.07.2024 22:00","27175","27240"
"21.07.2024 22:00 - 21.07.2024 22:15","27102","26672"
"21.07.2024 22:15 - 21.07.2024 22:30","26764","26492"
"21.07.2024 22:30 - 21.07.2024 22:45","26370","26236"
"21.07.2024 22:45 - 21.07.2024 23:00","25940","25888"
"21.07.2024 23:00 - 21.07.2024 23:15","25466","25216"
"21.07.2024 23:15 - 21.07.2024 23:30","25041","24884"
"21.07.2024 23:30 - 21.07.2024 23:45","24653","24572"
"21.07.2024 23:45 - 22.07.2024 00:00","24309","24188"
"22.07.2024 00:00 - 22.07.2024 00:15","23920","23796"
"22.07.2024 00:15 - 22.07.2024 00:30","23676","23420"
"22.07.2024 00:30 - 22.07.2024 00:45","23484","23212"
"22.07.2024 00:45 - 22.07.2024 01:00","23333","22940"
"22.07.2024 01:00 - 22.07.2024 01:15","23187","22800"
"22.07.2024 01:15 - 22.07.2024 01:30","23079","22668"
"22.07.2024 01:30 - 22.07.2024 01:45","22976","22444"
"22.07.2024 01:45 - 22.07.2024 02:00","22883","22376"
"22.07.2024 02:00 - 22.07.2024 02:15","22737","22256"
"22.07.2024 02:15 - 22.07.2024 02:30","22691","22260"
"22.07.2024 02:30 - 22.07.2024 02:45","22686","22204"
"22.07.2024 02:45 - 22.07.2024 03:00","22753","22236"
"22.07.2024 03:00 - 22.07.2024 03:15","22647","22268"
"22.07.2024 03:15 - 22.07.2024 03:30","22965","22516"
"22.07.2024 03:30 - 22.07.2024 03:45","23448","22716"
"22.07.2024 03:45 - 22.07.2024 04:00","24053","22792"
"22.07.2024 04:00 - 22.07.2024 04:15","24776","23104"
"22.07.2024 04:15 - 22.07.2024 04:30","25446","24208"
"22.07.2024 04:30 - 22.07.2024 04:45","26070","24972"
"22.07.2024 04:45 - 22.07.2024 05:00","26642","25524"
"22.07.2024 05:00 - 22.07.2024 05:15","27273","25716"
"22.07.2024 05:15 - 22.07.2024 05:30","27755","26584"
"22.07.2024 05:30 - 22.07.2024 05:45","28199","27072"
"22.07.2024 05:45 - 22.07.2024 06:00","28608","27500"
"22.07.2024 06:00 - 22.07.2024 06:15","29051","27648"
"22.07.2024 06:15 - 22.07.2024 06:30","29400","28216"
"22.07.2024 06:30 - 22.07.2024 06:45","29723","28688"
"22.07.2024 06:45 - 22.07.2024 07:00","30017","28996"
"22.07.2024 07:00 - 22.07.2024 07:15","30354","29040"
"22.07.2024 07:15 - 22.07.2024 07:30","30585","29220"
"22.07.2024 07:30 - 22.07.2024 07:45","30781","29596"
"22.07.2024 07:45 - 22.07.2024 08:00","30941","29868"
"22.07.2024 08:00 - 22.07.2024 08:15","31136","30052"
"22.07.2024 08:15 - 22.07.2024 08:30","31219","30060"
"22.07.2024 08:30 - 22.07.2024 08:45","31266","30232"
"22.07.2024 08:45 - 22.07.2024 09:00","31290","30468"
"22.07.2024 09:00 - 22.07.2024 09:15","31277","30564"
"22.07.2024 09:15 - 22.07.2024 09:30","31305","30748"
"22.07.2024 09:30 - 22.07.2024 09:45","31356","30684"
"22.07.2024 09:45 - 22.07.2024 10:00","31433","30704"
"22.07.2024 10:00 - 22.07.2024 10:15","31495","30848"
"22.07.2024 10:15 - 22.07.2024 10:30","31619","30880"
"22.07.2024 10:30 - 22.07.2024 10:45","31764","31048"
"22.07.2024 10:45 - 22.07.2024 11:00","31914","31084"
"22.07.2024 11:00 - 22.07.2024 11:15","32118","31300"
"22.07.2024 11:15 - 22.07.2024 11:30","32228","31432"
"22.07.2024 11:30 - 22.07.2024 11:45","32297","31700"
"22.07.2024 11:45 - 22.07.2024 12:00","32327","31808"
"22.07.2024 12:00 - 22.07.2024 12:15","32372","31864"
"22.07.2024 12:15 - 22.07.2024 12:30","32342","31804"
"22.07.2024 12:30 - 22.07.2024 12:45","32293","31808"
"22.07.2024 12:45 - 22.07.2024 13:00","32230","31764"
"22.07.2024 13:00 - 22.07.2024 13:15","32154","31732"
"22.07.2024 13:15 - 22.07.2024 13:30","32083","31464"
"22.07.2024 13:30 - 22.07.2024 13:45","32019","31404"
"22.07.2024 13:45 - 22.07.2024 14:00","31972","31272"
"22.07.2024 14:00 - 22.07.2024 14:15","31875","31284"
"22.07.2024 14:15 - 22.07.2024 14:30","31900","31332"
"22.07.2024 14:30 - 22.07.2024 14:45","31972","31352"
"22.07.2024 14:45 - 22.07.2024 15:00","32072","31560"
"22.07.2024 15:00 - 22.07.2024 15:15","32226","31572"
"22.07.2024 15:15 - 22.07.2024 15:30","32305","31764"
"22.07.2024 15:30 - 22.07.2024 15:45","32345","31948"
"22.07.2024 15:45 - 22.07.2024 16:00","32362","32128"
"22.07.2024 16:00 - 22.07.2024 16:15","32317","32248"
"22.07.2024 16:15 - 22.07.2024 16:30","32370","32220"
"22.07.2024 16:30 - 22.07.2024 16:45","32472","32252"
"22.07.2024 16:45 - 22.07.2024 17:00","32605","32332"
"22.07.2024 17:00 - 22.07.2024 17:15","32795","32496"
"22.07.2024 17:15 - 22.07.2024 17:30","32911","32676"
"22.07.2024 17:30 - 22.07.2024 17:45","32985","32744"
"22.07.2024 17:45 - 22.07.2024 18:00","33032","32864"
"22.07.2024 18:00 - 22.07.2024 18:15","33046","32992"
"22.07.2024 18:15 - 22.07.2024 18:30","33098","32864"
"22.07.2024 18:30 - 22.07.2024 18:45","33175","32912"
"22.07.2024 18:45 - 22.07.2024 19:00","33252","32924"
"22.07.2024 19:00 - 22.07.2024 19:15","33452","33016"
"22.07.2024 19:15 - 22.07.2024 19:30","33433","32932"
"22.07.2024 19:30 - 22.07.2024 19:45","33320","32968"
"22.07.2024 19:45 - 22.07.2024 20:00","33094","33028"
"22.07.2024 20:00 - 22.07.2024 20:15","33013","32940"
"22.07.2024 20:15 - 22.07.2024 20:30","32514","32620"
"22.07.2024 20:30 - 22.07.2024 20:45","31873","32284"
"22.07.2024 20:45 - 22.07.2024 21:00","31165","31864"
"22.07.2024 21:00 - 22.07.2024 21:15","30253","31260"
"22.07.2024 21:15 - 22.07.2024 21:30","29683","30620"
"22.07.2024 21:30 - 22.07.2024 21:45","29287","29992"
"22.07.2024 21:45 - 22.07.2024 22:00","29020","29432"
"22.07.2024 22:00 - 22.07.2024 22:15","28679","28724"
"22.07.2024 22:15 - 22.07.2024 22:30","28311","28552"
"22.07.2024 22:30 - 22.07.2024 22:45","27903","28348"
"22.07.2024 22:45 - 22.07.2024 23:00","27467","27960"
"22.07.2024 23:00 - 22.07.2024 23:15","26989","27312"
"22.07.2024 23:15 - 22.07.2024 23:30","26571","26768"
"22.07.2024 23:30 - 22.07.2024 23:45","26191","26488"
"22.07.2024 23:45 - 23.07.2024 00:00","25851","26072"
"23.07.2024 00:00 - 23.07.2024 00:15","25485","25776"
"23.07.2024 00:15 - 23.07.2024 00:30","25222","25384"
"23.07.2024 00:30 - 23.07.2024 00:45","24995","25200"
"23.07.2024 00:45 - 23.07.2024 01:00","24800","24972"
"23.07.2024 01:00 - 23.07.2024 01:15","24583","24688"
"23.07.2024 01:15 - 23.07.2024 01:30","24450","24536"
"23.07.2024 01:30 - 23.07.2024 01:45","24343","24424"
"23.07.2024 01:45 - 23.07.2024 02:00","24261","24300"
"23.07.2024 02:00 - 23.07.2024 02:15","24152","24064"
"23.07.2024 02:15 - 23.07.2024 02:30","24112","24084"
"23.07.2024 02:30 - 23.07.2024 02:45","24093","24036"
"23.07.2024 02:45 - 23.07.2024 03:00","24125","24096"
"23.07.2024 03:00 - 23.07.2024 03:15","24009","24024"
"23.07.2024 03:15 - 23.07.2024 03:30","24239","24132"
"23.07.2024 03:30 - 23.07.2024 03:45","24606","24200"
"23.07.2024 03:45 - 23.07.2024 04:00","25076","24352"
"23.07.2024 04:00 - 23.07.2024 04:15","25623","24552"
"23.07.2024 04:15 - 23.07.2024 04:30","26165","25564"
"23.07.2024 04:30 - 23.07.2024 04:45","26681","26112"
"23.07.2024 04:45 - 23.07.2024 05:00","27163","26600"
"23.07.2024 05:00 - 23.07.2024 05:15","27698","26868"
"23.07.2024 05:15 - 23.07.2024 05:30","28109","27636"
"23.07.2024 05:30 - 23.07.2024 05:45","28483","28136"
"23.07.2024 05:45 - 23.07.2024 06:00","28828","28524"
"23.07.2024 06:00 - 23.07.2024 06:15","29183","28764"
"23.07.2024 06:15 - 23.07.2024 06:30","29493","29228"
"23.07.2024 06:30 - 23.07.2024 06:45","29794","29596"
"23.07.2024 06:45 - 23.07.2024 07:00","30082","29876"
"23.07.2024 07:00 - 23.07.2024 07:15","30411","30152"
"23.07.2024 07:15 - 23.07.2024 07:30","30653","30468"
"23.07.2024 07:30 - 23.07.2024 07:45","30863","30816"
"23.07.2024 07:45 - 23.07.2024 08:00","31043","31084"
"23.07.2024 08:00 - 23.07.2024 08:15","31233","31172"
"23.07.2024 08:15 - 23.07.2024 08:30","31374","31268"
"23.07.2024 08:30 - 23.07.2024 08:45","31503","31548"
"23.07.2024 08:45 - 23.07.2024 09:00","31625","31708"
"23.07.2024 09:00 - 23.07.2024 09:15","31740","31772"
"23.07.2024 09:15 - 23.07.2024 09:30","31859","31880"
"23.07.2024 09:30 - 23.07.2024 09:45","31982","32112"
"23.07.2024 09:45 - 23.07.2024 10:00","32115","32216"
"23.07.2024 10:00 - 23.07.2024 10:15","32230","32428"
"23.07.2024 10:15 - 23.07.2024 10:30","32394","32524"
"23.07.2024 10:30 - 23.07.2024 10:45","32577","32692"
"23.07.2024 10:45 - 23.07.2024 11:00","32764","32896"
"23.07.2024 11:00 - 23.07.2024 11:15","33017","33132"
"23.07.2024 11:15 - 23.07.2024 11:30","33151","33340"
"23.07.2024 11:30 - 23.07.2024 11:45","33233","33592"
"23.07.2024 11:45 - 23.07.2024 12:00","33267","33732"
"23.07.2024 12:00 - 23.07.2024 12:15","33317","33772"
"23.07.2024 12:15 - 23.07.2024 12:30","33279","33796"
"23.07.2024 12:30 - 23.07.2024 12:45","33218","33940"
"23.07.2024 12:45 - 23.07.2024 13:00","33144","34020"
"23.07.2024 13:00 - 23.07.2024 13:15","33043","33872"
"23.07.2024 13:15 - 23.07.2024 13:30","32973","33680"
"23.07.2024 13:30 - 23.07.2024 13:45","32921","33640"
"23.07.2024 13:45 - 23.07.2024 14:00","32897","33656"
"23.07.2024 14:00 - 23.07.2024 14:15","32820","33664"
"23.07.2024 14:15 - 23.07.2024 14:30","32881","33652"
"23.07.2024 14:30 - 23.07.2024 14:45","32993","33568"
"23.07.2024 14:45 - 23.07.2024 15:00","33135","33540"
"23.07.2024 15:00 - 23.07.2024 15:15","33337","33584"
"23.07.2024 15:15 - 23.07.2024 15:30","33457","33680"
"23.07.2024 15:30 - 23.07.2024 15:45","33532","33724"
"23.07.2024 15:45 - 23.07.2024 16:00","33580","33896"
"23.07.2024 16:00 - 23.07.2024 16:15","33574","33996"
"23.07.2024 16:15 - 23.07.2024 16:30","33644","33860"
"23.07.2024 16:30 - 23.07.2024 16:45","33755","33988"
"23.07.2024 16:45 - 23.07.2024 17:00","33890","34132"
"23.07.2024 17:00 - 23.07.2024 17:15","34088","34328"
"23.07.2024 17:15 - 23.07.2024 17:30","34192","34400"
"23.07.2024 17:30 - 23.07.2024 17:45","34248","34420"
"23.07.2024 17:45 - 23.07.2024 18:00","34265","34596"
"23.07.2024 18:00 - 23.07.2024 18:15","34275","34572"
"23.07.2024 18:15 - 23.07.2024 18:30","34254","34680"
"23.07.2024 18:30 - 23.07.2024 18:45","34231","34524"
"23.07.2024 18:45 - 23.07.2024 19:00","34198","34484"
"23.07.2024 19:00 - 23.07.2024 19:15","34230","34512"
"23.07.2024 19:15 - 23.07.2024 19:30","34136","34396"
"23.07.2024 19:30 - 23.07.2024 19:45","33992","34408"
"23.07.2024 19:45 - 23.07.2024 20:00","33776","34496"
"23.07.2024 20:00 - 23.07.2024 20:15","33693","34460"
"23.07.2024 20:15 - 23.07.2024 20:30","33265","34220"
"23.07.2024 20:30 - 23.07.2024 20:45","32714","33808"
"23.07.2024 20:45 - 23.07.2024 21:00","32095","33332"
"23.07.2024 21:00 - 23.07.2024 21:15","31333","32764"
"23.07.2024 21:15 - 23.07.2024 21:30","30788","32040"
"23.07.2024 21:30 - 23.07.2024 21:45","30364","31348"
"23.07.2024 21:45 - 23.07.2024 22:00","30031","30604"
"23.07.2024 22:00 - 23.07.2024 22:15","29826","30088"
"23.07.2024 22:15 - 23.07.2024 22:30","29383","29956"
"23.07.2024 22:30 - 23.07.2024 22:45","28921","29768"
"23.07.2024 22:45 - 23.07.2024 23:00","28451","29220"
"23.07.2024 23:00 - 23.07.2024 23:15","27936","28712"
"23.07.2024 23:15 - 23.07.2024 23:30","27509","28124"
"23.07.2024 23:30 - 23.07.2024 23:45","27129","27716"
"23.07.2024 23:45 - 24.07.2024 00:00","26792","27196"
"24.07.2024 00:00 - 24.07.2024 00:15","26439","26872"
"24.07.2024 00:15 - 24.07.2024 00:30","26173","26472"
"24.07.2024 00:30 - 24.07.2024 00:45","25934","26252"
"24.07.2024 00:45 - 24.07.2024 01:00","25721","26052"
"24.07.2024 01:00 - 24.07.2024 01:15","25482","25960"
"24.07.2024 01:15 - 24.07.2024 01:30","25329","25624"
"24.07.2024 01:30 - 24.07.2024 01:45","25206","25512"
"24.07.2024 01:45 - 24.07.2024 02:00","25108","25328"
"24.07.2024 02:00 - 24.07.2024 02:15","24990","25244"
"24.07.2024 02:15 - 24.07.2024 02:30","24928","25140"
"24.07.2024 02:30 - 24.07.2024 02:45","24884","25032"
"24.07.2024 02:45 - 24.07.2024 03:00","24888","25060"
"24.07.2024 03:00 - 24.07.2024 03:15","24726","25048"
"24.07.2024 03:15 - 24.07.2024 03:30","24943","25216"
"24.07.2024 03:30 - 24.07.2024 03:45","25311","25180"
"24.07.2024 03:45 - 24.07.2024 04:00","25795","25276"
"24.07.2024 04:00 - 24.07.2024 04:15","26355","25504"
"24.07.2024 04:15 - 24.07.2024 04:30","26930","26400"
"24.07.2024 04:30 - 24.07.2024 04:45","27485","27076"
"24.07.2024 04:45 - 24.07.2024 05:00","28006","27448"
"24.07.2024 05:00 - 24.07.2024 05:15","28599","27936"
"24.07.2024 05:15 - 24.07.2024 05:30","29033","28680"
"24.07.2024 05:30 - 24.07.2024 05:45","29417","29096"
"24.07.2024 05:45 - 24.07.2024 06:00","29762","29500"
"24.07.2024 06:00 - 24.07.2024 06:15","30101","29612"
"24.07.2024 06:15 - 24.07.2024 06:30","30416","30092"
"24.07.2024 06:30 - 24.07.2024 06:45","30734","30532"
"24.07.2024 06:45 - 24.07.2024 07:00","31050","30816"
"24.07.2024 07:00 - 24.07.2024 07:15","31405","31084"
"24.07.2024 07:15 - 24.07.2024 07:30","31690","31392"
"24.07.2024 07:30 - 24.07.2024 07:45","31946","31612"
"24.07.2024 07:45 - 24.07.2024 08:00","32178","31748"
"24.07.2024 08:00 - 24.07.2024 08:15","32416","32096"
"24.07.2024 08:15 - 24.07.2024 08:30","32620","32232"
"24.07.2024 08:30 - 24.07.2024 08:45","32818","32408"
"24.07.2024 08:45 - 24.07.2024 09:00","33007","32700"
"24.07.2024 09:00 - 24.07.2024 09:15","33215","32848"
"24.07.2024 09:15 - 24.07.2024 09:30","33375","32956"
"24.07.2024 09:30 - 24.07.2024 09:45","33516","33036"
"24.07.2024 09:45 - 24.07.2024 10:00","33653","33160"
"24.07.2024 10:00 - 24.07.2024 10:15","33747","33304"
"24.07.2024 10:15 - 24.07.2024 10:30","33927","33552"
"24.07.2024 10:30 - 24.07.2024 10:45","34146","33820"
"24.07.2024 10:45 - 24.07.2024 11:00","34380","34124"
"24.07.2024 11:00 - 24.07.2024 11:15","34711","34284"
"24.07.2024 11:15 - 24.07.2024 11:30","34879","34472"
"24.07.2024 11:30 - 24.07.2024 11:45","34972","34768"
"24.07.2024 11:45 - 24.07.2024 12:00","35000","34880"
"24.07.2024 12:00 - 24.07.2024 12:15","35032","34872"
"24.07.2024 12:15 - 24.07.2024 12:30","34980","34856"
"24.07.2024 12:30 - 24.07.2024 12:45","34911","34972"
"24.07.2024 12:45 - 24.07.2024 13:00","34835","34972"
"24.07.2024 13:00 - 24.07.2024 13:15","34735","34856"
"24.07.2024 13:15 - 24.07.2024 13:30","34669","34632"
"24.07.2024 13:30 - 24.07.2024 13:45","34619","34564"
"24.07.2024 13:45 - 24.07.2024 14:00","34591","34484"
"24.07.2024 14:00 - 24.07.2024 14:15","34531","34456"
"24.07.2024 14:15 - 24.07.2024 14:30","34557","34436"
"24.07.2024 14:30 - 24.07.2024 14:45","34614","34404"
"24.07.2024 14:45 - 24.07.2024 15:00","34689","34532"
"24.07.2024 15:00 - 24.07.2024 15:15","34795","34532"
"24.07.2024 15:15 - 24.07.2024 15:30","34861","34512"
"24.07.2024 15:30 - 24.07.2024 15:45","34905","34616"
"24.07.2024 15:45 - 24.07.2024 16:00","34938","34764"
"24.07.2024 16:00 - 24.07.2024 16:15","34934","34744"
"24.07.2024 16:15 - 24.07.2024 16:30","34993","34580"
"24.07.2024 16:30 - 24.07.2024 16:45","35081","34744"
"24.07.2024 16:45 - 24.07.2024 17:00","35183","34820"
"24.07.2024 17:00 - 24.07.2024 17:15","35351","34864"
"24.07.2024 17:15 - 24.07.2024 17:30","35409","34912"
"24.07.2024 17:30 - 24.07.2024 17:45","35416","34976"
"24.07.2024 17:45 - 24.07.2024 18:00","35381","34964"
"24.07.2024 18:00 - 24.07.2024 18:15","35340","35120"
"24.07.2024 18:15 - 24.07.2024 18:30","35265","34996"
"24.07.2024 18:30 - 24.07.2024 18:45","35187","35080"
"24.07.2024 18:45 - 24.07.2024 19:00","35102","35036"
"24.07.2024 19:00 - 24.07.2024 19:15","35071","34984"
"24.07.2024 19:15 - 24.07.2024 19:30","34938","34920"
"24.07.2024 19:30 - 24.07.2024 19:45","34762","35044"
"24.07.2024 19:45 - 24.07.2024 20:00","34524","35060"
"24.07.2024 20:00 - 24.07.2024 20:15","34419","35012"
"24.07.2024 20:15 - 24.07.2024 20:30","33985","34576"
"24.07.2024 20:30 - 24.07.2024 20:45","33432","34184"
"24.07.2024 20:45 - 24.07.2024 21:00","32800","33828"
"24.07.2024 21:00 - 24.07.2024 21:15","32087","33212"
"24.07.2024 21:15 - 24.07.2024 21:30","31459","32420"
"24.07.2024 21:30 - 24.07.2024 21:45","30900","31900"
"24.07.2024 21:45 - 24.07.2024 22:00","30401","31328"
"24.07.2024 22:00 - 24.07.2024 22:15","30468","30684"
"24.07.2024 22:15 - 24.07.2024 22:30","30040","30436"
"24.07.2024 22:30 - 24.07.2024 22:45","29576","30228"
"24.07.2024 22:45 - 24.07.2024 23:00","29087","29672"
"24.07.2024 23:00 - 24.07.2024 23:15","28564","29016"
"24.07.2024 23:15 - 24.07.2024 23:30","28090","28500"
"24.07.2024 23:30 - 24.07.2024 23:45","27650","28044"
"24.07.2024 23:45 - 25.07.2024 00:00","27250","27640"
"25.07.2024 00:00 - 25.07.2024 00:15","26810","27280"
"25.07.2024 00:15 - 25.07.2024 00:30","26503","26872"
"25.07.2024 00:30 - 25.07.2024 00:45","26243","26420"
"25.07.2024 00:45 - 25.07.2024 01:00","26026","26232"
"25.07.2024 01:00 - 25.07.2024 01:15","25798","26040"
"25.07.2024 01:15 - 25.07.2024 01:30","25643","25784"
"25.07.2024 01:30 - 25.07.2024 01:45","25508","25484"
"25.07.2024 01:45 - 25.07.2024 02:00","25389","25204"
"25.07.2024 02:00 - 25.07.2024 02:15","25254","25260"
"25.07.2024 02:15 - 25.07.2024 02:30","25159","25124"
"25.07.2024 02:30 - 25.07.2024 02:45","25077","25020"
"25.07.2024 02:45 - 25.07.2024 03:00","25033","24960"
"25.07.2024 03:00 - 25.07.2024 03:15","24858","24888"
"25.07.2024 03:15 - 25.07.2024 03:30","24982","24932"
"25.07.2024 03:30 - 25.07.2024 03:45","25225","25004"
"25.07.2024 03:45 - 25.07.2024 04:00","25554","24912"
"25.07.2024 04:00 - 25.07.2024 04:15","25958","25028"
"25.07.2024 04:15 - 25.07.2024 04:30","26330","25728"
"25.07.2024 04:30 - 25.07.2024 04:45","26666","26232"
