"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"04.01.2024 03:00 - 04.01.2024 03:15","20869","21076"
"04.01.2024 03:15 - 04.01.2024 03:30","20881","21068"
"04.01.2024 03:30 - 04.01.2024 03:45","20917","20988"
"04.01.2024 03:45 - 04.01.2024 04:00","21001","21068"
"04.01.2024 04:00 - 04.01.2024 04:15","20943","21112"
"04.01.2024 04:15 - 04.01.2024 04:30","21210","21360"
"04.01.2024 04:30 - 04.01.2024 04:45","21605","21540"
"04.01.2024 04:45 - 04.01.2024 05:00","22122","21608"
"04.01.2024 05:00 - 04.01.2024 05:15","22618","21988"
"04.01.2024 05:15 - 04.01.2024 05:30","23327","23124"
"04.01.2024 05:30 - 04.01.2024 05:45","24108","23784"
"04.01.2024 05:45 - 04.01.2024 06:00","24926","24300"
"04.01.2024 06:00 - 04.01.2024 06:15","25892","25016"
"04.01.2024 06:15 - 04.01.2024 06:30","26677","26136"
"04.01.2024 06:30 - 04.01.2024 06:45","27395","26956"
"04.01.2024 06:45 - 04.01.2024 07:00","28038","27600"
"04.01.2024 07:00 - 04.01.2024 07:15","28776","28200"
"04.01.2024 07:15 - 04.01.2024 07:30","29278","28796"
"04.01.2024 07:30 - 04.01.2024 07:45","29709","29500"
"04.01.2024 07:45 - 04.01.2024 08:00","30074","29824"
"04.01.2024 08:00 - 04.01.2024 08:15","30498","30032"
"04.01.2024 08:15 - 04.01.2024 08:30","30742","30604"
"04.01.2024 08:30 - 04.01.2024 08:45","30932","31140"
"04.01.2024 08:45 - 04.01.2024 09:00","31065","31248"
"04.01.2024 09:00 - 04.01.2024 09:15","31257","31424"
"04.01.2024 09:15 - 04.01.2024 09:30","31270","31528"
"04.01.2024 09:30 - 04.01.2024 09:45","31223","31684"
"04.01.2024 09:45 - 04.01.2024 10:00","31129","31608"
"04.01.2024 10:00 - 04.01.2024 10:15","31016","31660"
"04.01.2024 10:15 - 04.01.2024 10:30","30881","31704"
"04.01.2024 10:30 - 04.01.2024 10:45","30751","31648"
"04.01.2024 10:45 - 04.01.2024 11:00","30638","31464"
"04.01.2024 11:00 - 04.01.2024 11:15","30474","31568"
"04.01.2024 11:15 - 04.01.2024 11:30","30431","31612"
"04.01.2024 11:30 - 04.01.2024 11:45","30436","31560"
"04.01.2024 11:45 - 04.01.2024 12:00","30472","31648"
"04.01.2024 12:00 - 04.01.2024 12:15","30554","31648"
"04.01.2024 12:15 - 04.01.2024 12:30","30588","31704"
"04.01.2024 12:30 - 04.01.2024 12:45","30593","31932"
"04.01.2024 12:45 - 04.01.2024 13:00","30564","32004"
"04.01.2024 13:00 - 04.01.2024 13:15","30562","32072"
"04.01.2024 13:15 - 04.01.2024 13:30","30465","32008"
"04.01.2024 13:30 - 04.01.2024 13:45","30338","31944"
"04.01.2024 13:45 - 04.01.2024 14:00","30199","31696"
"04.01.2024 14:00 - 04.01.2024 14:15","29996","31388"
"04.01.2024 14:15 - 04.01.2024 14:30","29900","31204"
"04.01.2024 14:30 - 04.01.2024 14:45","29854","31072"
"04.01.2024 14:45 - 04.01.2024 15:00","29854","31036"
"04.01.2024 15:00 - 04.01.2024 15:15","29832","30952"
"04.01.2024 15:15 - 04.01.2024 15:30","29898","30916"
"04.01.2024 15:30 - 04.01.2024 15:45","29988","30888"
"04.01.2024 15:45 - 04.01.2024 16:00","30116","30824"
"04.01.2024 16:00 - 04.01.2024 16:15","30165","30844"
"04.01.2024 16:15 - 04.01.2024 16:30","30422","30768"
"04.01.2024 16:30 - 04.01.2024 16:45","30758","30916"
"04.01.2024 16:45 - 04.01.2024 17:00","31133","31164"
"04.01.2024 17:00 - 04.01.2024 17:15","31651","31528"
"04.01.2024 17:15 - 04.01.2024 17:30","31945","31772"
"04.01.2024 17:30 - 04.01.2024 17:45","32134","32104"
"04.01.2024 17:45 - 04.01.2024 18:00","32243","32200"
"04.01.2024 18:00 - 04.01.2024 18:15","32295","32392"
"04.01.2024 18:15 - 04.01.2024 18:30","32371","32448"
"04.01.2024 18:30 - 04.01.2024 18:45","32481","32552"
"04.01.2024 18:45 - 04.01.2024 19:00","32611","32516"
"04.01.2024 19:00 - 04.01.2024 19:15","32827","32656"
"04.01.2024 19:15 - 04.01.2024 19:30","32916","32936"
"04.01.2024 19:30 - 04.01.2024 19:45","32943","33008"
"04.01.2024 19:45 - 04.01.2024 20:00","32881","32956"
"04.01.2024 20:00 - 04.01.2024 20:15","33003","33192"
"04.01.2024 20:15 - 04.01.2024 20:30","32673","32960"
"04.01.2024 20:30 - 04.01.2024 20:45","32179","32796"
"04.01.2024 20:45 - 04.01.2024 21:00","31546","32292"
"04.01.2024 21:00 - 04.01.2024 21:15","30932","31564"
